x	xend	y	yend
-88.22	-88.22	30.5	30.5
-112.07	-112.07	33.72	33.72
-90.23	-90.07	35.1	35.2
-90.23	-89.92	35.1	35.35
-121.63	-121.63	36.77	36.77
-105.1	-105.1	39.72	39.72
-104.93	-104.93	39.73	39.73
-104.37	-104.47	40.4	40.45
-81.63	-81.6	28.8	28.83
-82.05	-81.88	28.65	28.78
-82.57	-82.55	31.77	31.77
-111.78	-111.78	43.63	43.63
-116.23	-116.23	47.53	47.53
-113.9	-113.9	45.17	45.17
-88.03	-88.03	40.12	40.12
-89.7	-89.7	40.2	40.2
-88.98	-88.98	40.32	40.32
-87.83	-87.77	39.9	39.85
-90.17	-90.17	40.9	40.9
-89.47	-89.42	39.52	39.52
-89.1	-88.6	40.1	40.12
-89.27	-89.27	40.52	40.52
-86.07	-86.07	40.38	40.42
-91.72	-91.48	43.27	43.23
-91.5	-91.27	41.18	41.52
-95	-94.93	41.05	41.08
-96.1	-96.1	42.23	42.23
-92.32	-92.4	40.9	40.93
-95.45	-95.45	42.82	42.82
-93.62	-93.62	41.85	41.85
-94.72	-94.6	40.7	40.7
-92.97	-92.97	41.43	41.43
-96.48	-96.45	43.02	43
-92.77	-92.77	42.48	42.48
-96.08	-96.08	43.4	43.4
-94.03	-93.95	43.32	43.38
-95.2	-95.02	41.48	41.47
-95.6	-95.33	41.25	41.75
-100.97	-101.02	37.43	37.42
-96.38	-96.35	38.45	38.48
-97.92	-97.72	39.63	39.57
-95.58	-95.53	39.72	39.82
-94.03	-93.75	32.1	32.48
-90.52	-90.37	30.72	30.82
-90.5	-90.47	30.87	30.9
-91.38	-91.48	32.85	32.85
-91.2	-91.17	29.97	30
-92.63	-92.53	32.28	32.28
-87.4	-87.4	46.42	46.42
-83.3	-83.3	42.32	42.32
-83.95	-83.92	41.9	41.93
-86.22	-86.08	42.87	42.93
-84.63	-84.28	44.72	44.82
-84	-83.95	45.97	46.02
-85.38	-85.38	42.9	42.9
-84.75	-84.68	43.83	43.88
-84.68	-84.68	46.5	46.5
-88.35	-88.42	47.27	47.2
-87.87	-86.4	45.77	45.93
-93.25	-93.1	44.65	44.6
-93.48	-93.33	45.15	45.12
-92.85	-92.8	44.65	44.57
-92.72	-93.27	44.57	44.43
-93.8	-93.8	47.33	47.33
-93.93	-93.93	44.2	44.2
-92.98	-92.98	45.58	45.58
-96.15	-95.83	44.78	44.75
-93.72	-93.72	44.12	44.12
-91.77	-91.77	44.07	44.07
-95.17	-94.93	45.93	46.08
-90.17	-90.12	32.25	32.28
-90.6	-90.37	31.58	31.72
-88.55	-88.48	30.88	30.88
-90.7	-90.67	31.52	31.55
-89.25	-89.15	31.55	31.7
-91.13	-91.1	31.72	31.75
-90.32	-90.08	32.55	32.73
-90.65	-90.62	31.32	31.35
-91.4	-91.37	31.55	31.63
-88.6	-88.48	34.68	34.72
-89.7	-89.68	30.48	30.52
-89.25	-88.85	31.5	31.85
-91.38	-91.3	31.28	31.35
-89.85	-89.75	32.17	32.27
-88.43	-88.37	33.52	33.63
-89.72	-89.7	33.43	33.48
-90.38	-90.15	32.07	32.3
-89.25	-89.18	32.45	32.53
-89.48	-89.43	30.52	30.53
-90.15	-90.1	31.07	31.07
-89.6	-89.47	32.1	32.17
-89.73	-89.75	33.47	33.53
-90.05	-90.05	34.25	34.32
-89.92	-89.92	32.45	32.52
-90.12	-89.95	32.28	32.45
-90.02	-89.77	31.82	32.05
-89.92	-89.87	36.9	36.93
-101.57	-101.57	41.15	41.15
-99.2	-99.13	41.6	41.67
-96.95	-96.95	40.68	40.68
-101.82	-101.82	41.37	41.37
-97.58	-97.58	41.6	41.6
-101.8	-101.8	41.3	41.3
-98	-98	40.38	40.38
-101.08	-101.08	41.23	41.23
-102.32	-102.32	41.22	41.22
-100.22	-100.22	42.87	42.87
-115.23	-115.23	37.57	37.57
-115.18	-115.02	41.18	41.13
-115.5	-115.38	40.9	40.85
-115.77	-115.77	40.83	40.83
-118.68	-118.65	39.38	39.42
-74.35	-74.35	40.63	40.63
-107.25	-107.18	32.75	32.82
-75.55	-75.52	35.22	35.37
-80.85	-80.77	39.97	40.02
-97	-96.75	35.97	35.97
-96.88	-96.82	33.98	33.98
-99.98	-99.97	36.48	36.6
-98.95	-98.95	34.6	34.6
-97.38	-97.38	35.83	35.83
-100.52	-100.42	36.55	36.7
-99.85	-99.85	36.4	36.4
-102.35	-102.35	36.73	36.73
-96.83	-96.83	35.8	35.8
-101.72	-101.72	36.57	36.57
-98.5	-98.45	34.73	34.77
-98.4	-98.42	34.87	34.92
-100.2	-100.1	44.37	44.37
-98.57	-98.5	45.23	45.23
-99.93	-99.93	43.9	43.9
-99.52	-99.52	43.98	43.98
-99.78	-99.78	43.92	43.92
-101.02	-101.02	43.58	43.58
-99.45	-99.45	44.05	44.05
-99.55	-99.55	43.97	43.97
-96.85	-96.68	44.87	44.78
-99.43	-99.32	44.05	44.05
-96.62	-96.45	43.07	43
-99.42	-99.42	43.87	43.87
-96.73	-96.7	43.83	43.83
