x	xend	y	yend
-87.82	-87.88	33.93	34.12
-86.5	-86.45	34.63	34.6
-87.82	-87.77	33.97	34.1
-87.58	-87.52	34.87	34.88
-87.13	-87.12	34.15	34.28
-85.88	-85.62	31.3	31.45
-88.05	-88	33.55	33.63
-86.5	-86.42	34.3	34.38
-85.97	-85.85	31.77	31.82
-85.93	-85.45	31.38	31.88
-86	-85.92	32.27	32.3
-88.2	-88.2	33.18	33.38
-93.55	-93.55	34.27	34.27
-119.65	-119.57	36.55	36.58
-103.83	-103.52	40.5	40.73
-104.9	-104.85	39.72	39.72
-81.53	-81.47	29.17	29.23
-81.97	-81.85	26.6	26.6
-80.6	-80.6	26.65	26.65
-84.53	-84.48	33.97	34.02
-82.4	-82.32	31.23	31.3
-82.28	-82.22	31.27	31.3
-82.43	-82.37	31.23	31.27
-83.22	-83.22	33.9	33.9
-83.38	-83.38	33.95	33.95
-112.33	-112.23	42.12	42.03
-89.08	-89.08	40.1	40.1
-88.18	-88.02	39.48	39.53
-88.65	-88.52	40.75	40.75
-87.82	-87.82	41.83	41.83
-87.9	-87.88	39.67	39.72
-88.37	-88.33	40.48	40.53
-90.02	-89.9	39.88	39.88
-87.7	-87.57	39.53	39.58
-88.9	-88.75	37.42	37.47
-88.33	-88.1	42.23	42.35
-85.93	-85.83	39.57	39.72
-85.78	-85.68	39.8	39.85
-85.93	-85.67	39.57	39.78
-86.52	-85.83	39.37	39.67
-85.43	-85.37	39.82	39.88
-85.12	-85.05	40.88	40.88
-85.93	-85.75	38.68	38.78
-84.98	-84.87	40.03	40.1
-85.02	-84.93	40.9	40.92
-87.52	-87.4	40.1	40.13
-87.42	-87.42	37.95	37.95
-85.1	-84.78	41.57	41.58
-85.1	-84.82	41.57	41.58
-91.48	-91.48	42.37	42.37
-92.82	-92.82	41	41
-93.43	-93.43	41.63	41.63
-95.43	-95.43	42.02	42.02
-93.88	-93.88	41.62	41.62
-93.83	-93.83	41.57	41.57
-96.05	-96.05	42.92	42.92
-96.38	-96.32	43.35	43.45
-93.8	-93.8	41.68	41.68
-93.83	-93.83	41.62	41.62
-93.92	-93.92	41.85	41.85
-93.83	-93.77	41.62	41.62
-93.83	-93.78	41.6	41.58
-91.98	-91.98	41	41
-93.6	-93.6	40.82	40.82
-94.68	-94.62	42.55	42.55
-93.85	-93.85	41.58	41.58
-93.02	-93.02	41.58	41.58
-96.03	-95.8	43.4	43.58
-95.67	-95.67	43.1	43.1
-96.38	-96.17	42.42	42.18
-95.87	-95.87	43.18	43.18
-95.32	-95.32	43.15	43.15
-93.6	-93	41.75	41.77
-94.23	-94.23	42.47	42.47
-93.73	-93.62	41.58	41.6
-96.03	-95.93	43.4	43.47
-93.27	-93.27	40.98	40.98
-92.93	-92.93	41.32	41.32
-98.87	-98.55	39.63	39.8
-97.98	-97.93	39.93	40.02
-96.82	-96.5	38.87	38.92
-97.98	-97.92	39.93	40.03
-97.28	-97.08	39.37	39.4
-95.12	-95.12	37.57	37.57
-95.08	-95.08	37.35	37.35
-94.92	-94.92	37.28	37.28
-95.08	-95.08	37.57	37.57
-95.02	-95.02	37.5	37.5
-98.37	-98.37	37.97	37.97
-97.63	-97.63	39.82	39.82
-95.68	-95.68	37.88	37.88
-96.08	-95.73	38.05	37.88
-96.13	-96.13	38.05	38.05
-99.08	-98.98	37.45	37.38
-96.5	-96.5	37.07	37.07
-96.98	-96.98	37.38	37.38
-94.63	-94.63	37.1	37.1
-96.85	-96.82	38.32	38.35
-84.5	-84.45	38.03	38.05
-85.37	-85.37	36.83	36.88
-85.33	-85.22	36.85	36.95
-83.87	-83.87	38.43	38.43
-86.05	-86.05	37.58	37.58
-84.03	-84.03	38.45	38.45
-85.38	-85.38	37.77	37.77
-82.95	-82.95	38.42	38.42
-90.48	-90.48	30.07	30.07
-93.92	-93.92	33	33
-92.65	-92.6	32.18	32.35
-92.45	-92.32	32.3	32.33
-91.73	-91.73	31.98	31.98
-91.07	-91.07	32.3	32.3
-93.03	-93.03	29.78	29.78
-92.67	-92.67	32.12	32.12
-91.25	-91.25	32	32
-93.47	-93.47	33	33
-93.3	-93.3	32.93	32.93
-93.82	-93.82	32.08	32.08
-91.75	-91.75	32.45	32.45
-93.35	-93.35	32.97	32.97
-89.53	-89.53	29.35	29.35
-70.98	-70.93	43.73	43.73
-71.27	-71.23	42.45	42.5
-70.73	-70.73	42.2	42.2
-71.58	-71.58	42.02	42.03
-83.73	-83.62	42.92	42.92
-83.48	-83.3	42.58	42.63
-85.3	-85.22	42.4	42.4
-85.52	-84.75	42.55	42.25
-84.9	-84.9	44.02	44.02
-84.92	-84.92	43	43
-84.88	-84.82	41.82	41.88
-87.77	-87.43	45.68	45.65
-84.25	-84.23	42.9	43.22
-84.63	-84.45	42.63	42.65
-83.37	-83.37	42.48	42.48
-83.18	-83.12	43.08	43.07
-83.68	-83.68	43.03	43.03
-85.85	-85.78	42.2	42.2
-83.8	-83.68	42.87	42.92
-93.28	-93.28	45	45.15
-94	-94	45.43	45.43
-95.32	-95.32	43.72	43.72
-92.92	-92.92	46.78	46.72
-95.93	-95.8	43.47	43.58
-94.1	-94.02	44.23	44.22
-88.2	-88.18	34.62	34.67
-90.23	-90.22	31.38	31.35
-90.6	-90.5	31.32	31.38
-90.95	-90.9	31.82	31.7
-90.37	-90.05	31.52	31.38
-88.82	-88.75	32.23	32.35
-88.4	-88.5	33.17	33.23
-88.77	-88.58	32.42	32.7
-90.77	-90.7	32.75	32.83
-89.2	-89.17	31.7	31.68
-88.9	-88.87	34.4	34.43
-90.57	-90.33	32.87	33.07
-91.17	-91.07	31.02	31.02
-89.37	-89.1	31.9	32.32
-92.47	-92.28	39.73	39.75
-94.57	-94.57	37.08	37.08
-89.7	-89.65	36.97	37.02
-94.3	-94.3	36.55	36.55
-89.75	-89.6	36.8	37.08
-93.43	-93.27	38.25	38.35
-94.52	-94.52	37.08	37.08
-92.47	-92.37	38.33	38.4
-89.62	-89.47	36.87	36.98
-108.08	-108.08	46.35	46.35
-99.12	-99.12	40.6	40.6
-98.95	-98.95	40.47	40.47
-97.67	-97.67	40.8	40.8
-101.7	-101.7	41.15	41.15
-99.35	-99.35	40.92	40.92
-100.65	-100.65	41.13	41.13
-99.45	-99.45	40.95	40.95
-97.75	-97.75	41.7	41.7
-99.02	-99.02	40.55	40.55
-99.9	-99.9	41.15	41.15
-100.53	-100.53	41.07	41.07
-100.72	-100.72	41.05	41.05
-100.2	-100.45	42.05	41.98
-100.65	-100.65	41.03	41.03
-96.97	-96.97	40.75	40.75
-98.37	-98.37	40.77	40.77
-97.17	-97.17	42.77	42.77
-98.95	-98.95	40.48	40.48
-97.63	-97.63	42.73	42.73
-97.57	-97.42	40.17	40.3
-97.53	-97.53	40.87	40.87
-97.83	-97.83	40.62	40.62
-100.03	-100.03	41.37	41.37
-99.13	-99	41.92	41.88
-104.02	-104.02	42	42
-96.97	-96.17	42.68	42.18
-99.03	-98.95	40.57	40.6
-98.9	-98.9	41.02	41.02
-98.35	-98.43	42.45	42.42
-98.52	-98.52	40.83	40.83
-96.97	-96.42	42.68	42.42
-98.28	-98.25	42.38	42.4
-99.98	-99.98	42.58	42.58
-97.93	-97.92	40.02	40.03
-101.02	-101.02	40.1	40.1
-103.65	-103.65	42.2	42.2
-97.77	-97.77	42.7	42.7
-98.28	-98.25	40.48	40.5
-101.03	-101.03	40.35	40.35
-115.57	-115.52	36.62	36.63
-72.22	-71.97	42.9	42.97
-71.02	-70.98	43.67	43.67
-71.02	-70.93	43.67	43.73
-104.52	-104.52	33.55	33.55
-74.57	-74.57	42.28	42.28
-76.42	-76.28	43.32	43.18
-76.88	-76.88	36.18	36.18
-79.22	-79.03	34.87	35.05
-79.05	-78.95	35.38	35.38
-97.5	-97.45	47.63	47.62
-98.13	-98.13	47.27	47.27
-100.6	-100.5	48.93	48.78
-81.83	-81.73	39.97	40
-82.18	-82.17	41.4	41.45
-82.68	-82.58	41.05	41.17
-83.57	-83.22	39.48	39.75
-83.83	-83.75	38.73	38.8
-84.63	-84.45	40.42	40.62
-83.13	-83.07	40.75	40.8
-82.98	-82.88	40.88	40.98
-83.6	-83.48	40.63	40.73
-83.83	-83.75	39.45	39.52
-83.67	-83.58	39.92	39.92
-83.45	-83.17	39.92	39.92
-83.1	-82.78	41.52	41.53
-83.63	-83.58	39.2	39.22
-84.82	-84.78	41.58	41.58
-81.95	-81.95	41.1	41.1
-84.55	-84.55	38.58	38.58
-84.35	-84.32	41.23	41.22
-98.98	-98.95	34.63	34.65
-99.2	-99.12	34.57	34.65
-97.53	-97.48	35.48	35.65
-97.35	-97.33	35.88	35.97
-97.48	-97.38	35.65	35.73
-98.95	-98.9	34.63	34.63
-99.33	-99.2	34.55	34.57
-95.33	-95.23	36.48	36.45
-97.5	-97.5	33.93	33.93
-98.75	-98.75	35.08	35.08
-98.9	-98.95	34.82	34.8
-99.63	-99.28	35.12	35.43
-97.4	-97.4	35.45	35.45
-97.55	-97.55	35.8	35.8
-98.35	-98.3	36.72	36.65
-96.95	-96.85	35.47	35.47
-97.2	-97.15	35.5	35.5
-95.78	-95.73	36.05	36.1
-100	-99.85	34.77	34.83
-95.88	-95.88	35.95	35.95
-99.28	-99.28	35.38	35.38
-97.55	-97.55	35.88	35.88
-95.65	-95.52	35.9	36
-97.6	-97.6	35.8	35.87
-99.4	-99.4	35.1	35.1
-76.07	-76.07	41	41
-76.73	-76.57	41.23	41.47
-80.23	-80.03	41.13	41.13
-79.75	-79.67	39.92	39.9
-71.45	-71.43	41.77	41.82
-71.73	-71.58	41.98	42.03
-71.73	-71.58	41.98	42.03
-99.2	-99.2	45.35	45.35
-100.08	-100.08	44.18	44.18
-99.63	-99.63	45.93	45.93
-98.72	-98.6	43.65	43.65
-97.1	-97.1	44.25	44.25
-100.85	-100.85	43.88	43.88
-98.32	-98.32	43.33	43.33
-98.38	-98.38	43.3	43.3
-97.75	-97.75	43.28	43.28
-99	-98.9	43.78	43.72
-96.93	-96.85	43.23	43.25
-100.67	-100.67	44.6	44.6
-97.28	-97.1	44.9	44.92
-102.35	-102.35	45.53	45.53
-103.43	-103.37	44.72	44.72
-102.72	-102.72	44.28	44.28
-96.67	-96.73	43.3	43.4
-102.23	-102.1	45.52	45.4
-97.45	-97.1	44.57	44.58
-96.7	-96.48	44.57	44.58
-98.65	-98.65	45.58	45.58
-84.82	-84.6	35.23	35.28
-101.82	-101.77	35.07	35.1
-101.47	-101.3	34.33	34.38
-99.98	-99.88	33.98	33.98
-97.92	-97.9	27.68	27.67
-100.45	-100.48	35.78	35.9
-97.87	-97.8	32.77	32.87
-101.7	-101.62	34.1	34.03
-98.7	-98.22	33.53	33.57
-99.92	-99.82	33.98	33.98
-101.8	-101.63	32.37	32.18
-100.45	-100.47	35.83	35.93
-95.85	-95.77	29.83	29.87
-97.35	-97.35	31.1	31.1
-95.03	-95.02	30.62	30.65
-100.43	-100.35	32.45	32.48
-100.17	-100.17	34.02	34.02
-95.55	-95.48	30.03	29.98
-102.1	-102.1	32.55	32.55
-101.9	-101.9	31.22	31.22
-97.93	-97.87	32.65	32.73
-100.65	-100.57	32.33	32.35
-101.73	-101.33	34.55	34.77
-113.65	-113.7	37.67	37.57
-73.02	-73.02	44.62	44.62
-78.12	-78.07	39.03	39.07
-76.95	-76.9	37.3	37.32
-77.37	-77.2	36.97	37.12
-77.77	-77.67	36.78	36.9
-88	-87.43	45.73	45.65
-88.78	-88.78	43.32	43.32
-88	-87.77	45.73	45.68
-88.5	-88.5	43.32	43.32
-88.73	-88.6	42.87	42.92
-91.63	-91.6	45.32	45.33
-88.35	-88.25	43.6	43.7
-90.88	-90.82	43.93	43.97
-104.83	-104.62	41.85	41.87
