x	xend	y	yend
-86.87	-86.87	34.55	34.55
-88.25	-88.25	31.47	31.47
-87.88	-87.88	30.6	30.6
-86.65	-86.5	34.95	34.95
-86.87	-86.82	34.1	34.13
-86.4	-86.35	33.4	33.42
-87.17	-87.17	31.28	31.28
-87.85	-87.85	31.63	31.63
-85.95	-85.87	33.95	34
-86.92	-86.83	32.67	32.7
-111.77	-111.73	33.42	33.42
-91.75	-91.53	35.93	36.17
-92.43	-92.4	35.15	35.2
-92.22	-92.17	35.38	35.47
-90.97	-90.83	34.78	34.82
-94.48	-94.22	35.97	36.17
-91.75	-91.55	34.23	34.35
-94.53	-94.6	36.22	36.3
-93.78	-93.78	34.62	34.62
-94.52	-93.9	35.93	36.35
-93.13	-92.93	35.32	35.25
-90.73	-90.7	35.55	35.57
-121.8	-121.75	39.35	39.37
-102.7	-102.7	38.45	38.45
-102.63	-102.63	37.52	37.52
-103.43	-103.43	39.17	39.17
-72.7	-72.6	42	42.07
-72.7	-72.57	42	42.08
-81	-81	29.2	29.2
-80.3	-80.3	27.45	27.45
-82.3	-82.3	29.7	29.7
-80.13	-80.13	26.83	26.83
-81.27	-81.27	29.47	29.47
-80.07	-80.07	26.47	26.47
-82.42	-82.42	27.73	27.73
-82.43	-82.43	27.73	27.73
-82.95	-82.95	29.93	29.93
-82.88	-82.88	29.77	29.77
-81.47	-81.47	27.52	27.52
-81.22	-81.22	28.67	28.67
-81.85	-81.83	27.17	27.23
-80.1	-80.1	27.07	27.07
-81.85	-81.85	27.22	27.22
-82.43	-82.43	27.07	27.07
-80.1	-80.1	26.93	26.93
-82.5	-82.5	27.17	27.17
-80.58	-80.58	27.77	27.77
-80.12	-80.12	25.8	25.8
-80.58	-80.58	28.03	28.03
-84.37	-84.28	30.8	30.8
-82.32	-82.32	33.03	33.03
-83.13	-83.1	34.3	34.32
-82.93	-82.87	34.3	34.35
-84.18	-84.13	34.23	34.32
-82.48	-82.3	31.2	31.2
-83.23	-83.23	31.6	31.6
-91.37	-91.23	39.95	40.15
-90.28	-90.28	38.93	38.93
-89.23	-89.17	40.62	40.62
-88.83	-88.77	40.62	40.67
-89.2	-89.2	37.7	37.7
-87.9	-87.82	42	42.05
-90.5	-90.42	42.4	42.5
-89.4	-89.4	37.2	37.2
-89.18	-89.18	37.72	37.72
-90.5	-90.28	42.4	42.53
-86.65	-86.55	39.13	39.17
-86.02	-85.93	38.47	38.5
-85.27	-85.22	39.02	39.05
-86.5	-86.5	39.03	39.03
-86	-85.77	38.95	39
-86.58	-86.35	41.13	41.13
-85.77	-85.77	40.62	40.62
-85.35	-85.35	40.83	40.83
-92.33	-92.33	41.8	41.8
-93.52	-93.48	40.58	40.62
-93.45	-93.45	42.02	42.02
-95.23	-95.12	41.47	41.43
-93.43	-93.38	42.32	42.28
-92.8	-92.75	42.9	42.93
-92.08	-91.92	42.22	42.1
-90.67	-90.58	42.5	42.55
-93.33	-93.33	42.15	42.15
-92.53	-92.48	42.85	42.88
-97.97	-97.87	39.03	39.15
-98	-98	38.8	38.8
-99.45	-99.33	38.55	38.43
-98	-98	38.93	38.93
-99.52	-99.47	38.13	38.25
-98	-98	38.95	38.95
-99.4	-99.4	38.8	38.8
-99.47	-99.42	37.95	38.05
-97.27	-97.02	38.05	38.37
-99.7	-99.6	38.53	38.73
-98.02	-98.02	37.2	37.2
-100.52	-100.32	39.48	39.68
-100.95	-100.95	39.22	39.22
-98.28	-97.83	39.02	39.15
-98.9	-98.85	38.4	38.42
-99.55	-99.55	38.9	38.9
-86.9	-86.9	37.7	37.7
-88.33	-87.92	37.03	37.2
-88.53	-88.55	36.93	36.83
-85.6	-85.57	38.3	38.33
-86.73	-86.73	37.83	37.83
-85.6	-85.6	37	37
-92.3	-92.27	30.73	30.8
-93.67	-93.6	32.32	32.38
-93.08	-92.67	32.63	32.67
-69.4	-69.23	44.8	44.88
-73.2	-72.83	42.7	42.65
-72.67	-72.33	42.73	42.75
