x	xend	y	yend
-85.97	-85.9	31.72	31.8
-87.9	-87.9	30.7	30.7
-86.23	-86.13	31.55	31.58
-85.7	-85.7	32	32
-86.8	-86.8	33.48	33.48
-88.03	-88.03	31.48	31.48
-87.8	-87.8	30.7	30.7
-86.63	-85.88	31.83	32.22
-86.05	-86.02	33.78	34
-110.8	-110.8	31.9	31.9
-112.8	-112.8	33	33
-91.75	-91.75	34.1	34.1
-92.42	-92.25	35.1	35.1
-104.7	-104.7	39.67	39.67
-104.7	-104.7	39.67	39.67
-102.55	-102.55	38.13	38.13
-102.62	-102.62	40.6	40.6
-102.35	-102.35	38.07	38.07
-104.75	-104.75	39.63	39.63
-102.3	-102.23	39.38	39.4
-103.2	-103.2	40.13	40.13
-102.28	-102.28	39.13	39.13
-87.3	-87.3	30.3	30.3
-82.3	-82.3	28.8	28.8
-84.97	-84.97	30.4	30.4
-87.33	-87.33	30.5	30.5
-80.8	-80.75	27.3	27.3
-84.67	-84.67	29.87	29.87
-84.5	-84.5	29.93	29.93
-84.4	-84.4	30.63	30.63
-81.98	-81.98	28.7	28.65
-84.95	-84.95	29.6	29.6
-80.63	-80.63	26.75	26.75
-81.5	-81.45	27.63	27.63
-86.85	-86.85	30.4	30.4
-80.43	-80.43	26.13	26.13
-80.2	-80.2	26.1	26.1
-82.38	-82.38	27.85	27.85
-83.27	-83.27	30.12	30.12
-85	-85	30.4	30.4
-87.38	-87.38	30.4	30.4
-84.98	-84.98	30.42	30.42
-86.53	-86.53	30.85	30.85
-84.6	-84.6	30.58	30.58
-82.5	-82.5	27.95	27.95
-81.63	-81.63	27.9	27.9
-83.3	-83.3	30.4	30.4
-82.48	-82.48	29.6	29.6
-82.5	-82.5	28.1	28.1
-87.13	-87.13	30.57	30.57
-81.1	-81.05	28.62	28.63
-80.47	-80.47	26.55	26.55
-81.98	-81.98	27.8	27.8
-82.5	-82.5	27.5	27.5
-81.43	-81.35	28.6	28.63
-82.52	-82.52	27.35	27.35
-81.48	-81.48	29.9	29.9
-81.15	-81.15	31.97	31.97
-83.8	-83.8	32.1	32.1
-83.92	-83.78	33.33	33.53
-84.8	-81.4	30.8	31.87
-84.25	-84.2	31.7	31.75
-87.7	-87.7	40.1	40.1
-89.2	-89.2	37.42	37.42
-89.1	-89.1	39.2	39.2
-88.2	-88.2	41.5	41.5
-88.43	-88.43	41.1	41.1
-88.1	-88	41.9	41.93
-86.25	-86.25	41.67	41.67
-87.08	-87.08	39.73	39.73
-85	-85	41.7	41.7
-85.88	-85.88	39.65	39.65
-86.32	-86.32	41.35	41.35
-86.97	-86.67	39.57	39.63
-87.03	-87.03	38.67	38.67
-85.8	-85.8	40.38	40.38
-85	-85	41.7	41.7
-87.37	-87.37	39.23	39.23
-84.78	-84.78	41.63	41.63
-85.78	-85.67	39.22	39.18
-86.12	-86.12	39.98	39.98
-86.22	-86.22	39.82	39.82
-86.05	-85.45	39.48	39.62
-85.27	-85.27	41.45	41.45
-85.05	-85.05	41.43	41.43
-92.43	-92.53	41.73	41.63
-91	-91	42.4	42.4
-95.32	-95.1	42.12	42.08
-95.6	-95.42	42.33	42.03
-91.57	-91.2	42.37	42.65
-94.47	-94.4	42.15	42.15
-90.4	-90.4	42.27	42.27
-93.6	-93.6	42.07	42.07
-93.88	-93.88	42.07	42.07
-95.2	-95.13	42	42.05
-92.78	-92.78	41.87	41.87
-96.38	-96.33	42.52	42.47
-96.43	-96.43	42.5	42.5
-92.93	-92.93	42.05	42.05
-94.77	-94.6	38.35	38.47
-94.77	-94.5	38.35	38.52
-101.27	-101.27	38.47	38.47
-97.87	-97.87	37.05	37.05
-95.1	-94.97	38.95	38.98
-101.5	-101.5	38.2	38.2
-96.73	-96.73	39.15	39.15
-100.03	-99.43	39.1	39.6
-100.98	-100.98	38.55	38.55
-97.65	-97.5	37.65	37.6
-96.6	-96.48	38.67	38.7
-87.83	-87.83	37	37
-85.4	-85.4	37.9	37.9
-85.7	-85.62	37.95	37.95
-85.85	-85.78	37.17	37.28
-91.35	-91.13	30.13	30.18
-90.03	-90.3	29.75	29.8
-90.9	-90.75	30.2	30.28
-91.85	-91.43	31.5	31.72
-83.58	-83.28	42.12	42.1
-84.7	-84.37	41.98	41.87
