x	xend	y	yend
-87	-87	33.5	33.5
-85.18	-85.18	32.22	32.22
-86.93	-86.82	34.23	34.28
-86.82	-86.82	33.65	33.65
-87.8	-87.68	31	31.05
-88.35	-87.42	32.82	33.37
-86.5	-86.5	33.75	33.75
-86.5	-86.35	32.3	32.27
-110.8	-110.8	33.4	33.4
-111.45	-111.45	34.92	34.92
-92.4	-92.33	34.4	34.43
-91.17	-91.03	34.4	34.5
-93.75	-93.72	36.4	36.43
-94.33	-94.33	35.43	35.43
-118.33	-118.17	33.85	33.9
-118.3	-118.3	33.9	33.9
-104.3	-104.3	39.8	39.8
-103.25	-103.25	40.2	40.2
-104.5	-104.5	40.43	40.43
-103.37	-103.37	38	38
-103.98	-103.98	39.55	39.55
-104.93	-104.93	39.7	39.7
-103.22	-103.22	39.52	39.52
-103.18	-103.18	40.93	40.93
-104.32	-104.32	39.83	39.83
-105.5	-105.5	38.13	38.13
-102.62	-102.62	37.2	37.2
-73.3	-73.23	42.03	42.05
-73.3	-73.08	42.03	42.1
-82.8	-80.67	27.92	28.43
-82.67	-82.67	28.05	28.05
-82.63	-80.75	27.7	28.35
-85.23	-85.23	30.8	30.8
-80.25	-80.18	25.75	25.78
-80.3	-80.3	25.6	25.6
-87.03	-87.03	30.63	30.63
-81.68	-81.65	29.48	29.38
-82.58	-82.58	27.5	27.5
-87.02	-87.02	30.62	30.62
-82.55	-82.55	27.5	27.5
-82.3	-82.3	29.7	29.7
-81.7	-81.7	30	30
-81.25	-81.25	28.8	28.8
-82.8	-82.8	27.97	27.97
-84.42	-84.43	33.67	33.67
-83.3	-83.25	30.78	30.8
-85	-84.95	32.47	32.48
-81.58	-81.48	31.22	31.18
-83.17	-83.17	33.88	33.98
-82.35	-82.03	31.22	31.48
-88.9	-88.85	38.27	38.32
-90	-90	41.8	41.8
-90.65	-90.6	42.5	42.47
-88.02	-88.02	42.1	42.1
-88.02	-88.02	42.1	42.1
-86.35	-86.35	39.62	39.62
-86.02	-86.02	41.53	41.53
-87.42	-87.42	41.5	41.5
-87.23	-87.23	41.62	41.62
-86.17	-86.17	39.78	39.78
-87.15	-87.15	41.08	41.08
-86.32	-86.32	41.43	41.43
-86.9	-86.9	40.05	40.05
-86.9	-86.9	40.03	40.03
-85.45	-85.45	40.42	40.42
-91.18	-91.12	40.97	41.02
-96.4	-96.18	43.1	43.03
-91.27	-91.18	41.6	41.65
-92.93	-92.97	42.38	42.43
-93.8	-93.6	41.6	41.73
-90.67	-90.63	42.5	42.5
-91.5	-91.5	42.28	42.28
-91.3	-91.3	42.62	42.62
-93.1	-93.23	41.53	41.12
-92.12	-92.12	42.85	42.92
-94.63	-94.63	40.83	40.83
-92.97	-92.97	41.83	41.83
-93.65	-93.53	42.8	42.92
-93.55	-93.35	41.57	41.67
-92.72	-92.23	41.85	42.08
-92.6	-92.55	42.45	42.48
-97.52	-97.52	38.2	38.2
-97.5	-97.5	38.18	38.18
-97.4	-97.4	38.1	38.1
-97.4	-97.4	38.1	38.1
-95.03	-94.88	39.23	39.27
-101.7	-101.7	38.1	38.1
-96.77	-96.77	39.07	39.27
-97.3	-97.3	37.17	37.17
-101.8	-101.8	38.1	38.1
-97.52	-97.52	38.2	38.2
-98.4	-98.4	38.25	38.25
-95.18	-94.83	39.17	39.27
-97.2	-97.1	39.65	39.68
-95.8	-95.62	39.17	39.2
-95.92	-95.58	38.92	39.08
-96.23	-96.23	38.03	38.03
-94.8	-94.67	38.92	38.97
-100.9	-100.9	37.5	37.5
-97.15	-97.02	39.13	39.22
-95.45	-95.45	39.05	39.05
-101.67	-101.67	39.4	39.4
-96.42	-96.42	38.05	38.05
-97.45	-97.45	37.47	37.47
-97.45	-97.45	37.47	37.47
-101.03	-100.95	37.9	37.95
-99.72	-99.72	39.93	39.93
-88.62	-88.28	36.97	37
-87.62	-87.62	37.8	37.8
-89.4	-89.4	29.3	29.3
