x	xend	y	yend
-88.08	-88.08	30.58	30.58
-87.2	-87.2	31.27	31.27
-87.03	-86.68	33.45	33.68
-87.32	-87.28	32.55	32.52
-86.67	-86.5	31.87	32.17
-86.25	-86.22	32.38	32.52
-86.77	-86.77	33.58	33.58
-86.32	-86.32	32.63	32.63
-88.02	-87.83	31.62	32
-86.62	-86.55	31.4	31.48
-86.92	-86.92	32.17	32.17
-86.48	-86.48	32	32
-85.92	-85.73	32.72	33.07
-87.03	-87.1	31.42	31.47
-114.5	-114.5	32.47	32.47
-91.4	-91.38	33.58	33.63
-92.33	-91.75	34.55	34.88
-91.95	-91.8	33.15	33.23
-93.07	-93.07	34.1	34.1
-94.47	-94.13	34.13	34.47
-92.85	-92.85	33.4	33.4
-91.35	-91.25	33.12	33.12
-91.93	-91.88	35.07	35.15
-90.62	-90.62	34.38	34.38
-91.88	-91.58	33.25	33.2
-92.4	-92.4	34.15	34.15
-91.87	-91.87	33.35	33.35
-94.08	-94	36.12	36.1
-92.62	-92.62	33.72	33.72
-92.8	-92.73	35.27	35.32
-92.37	-92.33	35.3	35.33
-92.3	-92.18	35.78	35.87
-93.38	-93.38	35.53	35.53
-94.38	-94.32	35.83	35.98
-93.08	-92.1	33.72	33.37
-93.58	-93.58	33.88	33.88
-92.35	-92.35	33.3	33.3
-92.58	-92.52	35.62	35.47
-92.02	-92.02	34.43	34.43
-91.95	-91.93	34.8	34.88
-117.1	-117.1	32.8	32.8
-102.67	-102.6	40.4	40.42
-102.42	-102.35	38.87	38.87
-104.92	-104.83	38.85	38.83
-72.67	-72.7	41.88	42.05
-87.5	-87.5	30.88	30.88
-82.23	-82.23	28.08	28.08
-83.22	-83.22	30.13	30.13
-84.58	-84.58	30.52	30.52
-82.6	-82.6	29.75	29.75
-82.32	-82.32	28.23	28.23
-80.83	-80.83	28.67	28.67
-81.27	-81.27	29.47	29.47
-81.05	-81.05	29.28	29.28
-81	-81	29.2	29.2
-80.98	-80.98	29.13	29.13
-87.25	-87.25	30.42	30.42
-81.45	-81.45	30.6	30.6
-80.07	-80.07	26.47	26.47
-81.3	-81.2	28.88	28.9
-86.6	-86.6	30.75	30.75
-82.67	-82.67	28.07	28.07
-80.4	-80.4	27.63	27.63
-87.22	-87.22	30.43	30.43
-82.57	-82.57	27.48	27.48
-82.63	-82.63	27.78	27.78
-82.28	-82.28	27.93	27.93
-82.38	-82.38	27.87	27.87
-82.62	-82.62	28.78	28.78
-82.55	-82.55	27.42	27.42
-81.62	-81.62	27.9	27.9
-81.88	-81.88	30.63	30.63
-80.32	-80.32	27.38	27.45
-86.67	-86.67	30.37	30.37
-81.52	-81.52	29.65	29.65
-83.15	-83.15	30.3	30.3
-86.5	-86.5	30.53	30.53
-81	-81	26.67	26.67
-81.63	-81.63	30.47	30.47
-82.75	-82.75	28.2	28.2
-80.25	-80.25	27.25	27.25
-80.17	-80.17	27.18	27.18
-82.13	-82.13	29.18	29.18
-82.47	-82.47	27.98	27.98
-81.85	-81.85	26.63	26.63
-81.55	-81.55	28.8	28.8
-82.28	-82.28	27.93	27.93
-81.92	-81.92	28.98	28.98
-82.53	-82.53	28	28
-82.3	-82.3	28.83	28.83
-87.27	-87.27	30.57	30.57
-82.47	-82.47	29.07	29.07
-82.98	-82.98	30.13	30.13
-82.42	-82.42	28.3	28.3
-81.22	-81.22	29.67	29.67
-82.7	-82.7	27.98	27.98
-87.13	-87.1	30.32	30.38
-82.18	-82.15	28.23	28.28
-86.5	-86.5	30.53	30.53
-81.02	-80.93	29.2	29.27
-82.02	-82.02	30.2	30.2
-84.7	-84.7	32.82	32.82
-84.87	-84.87	32.65	32.65
-85.07	-85.07	33.83	33.83
-83.78	-83.78	30.78	30.78
-84.35	-84.35	33.25	33.25
-84.55	-84.55	30.8	30.8
-81.48	-81.48	32.12	32.12
-84.02	-84.02	32.72	32.72
-83.62	-83.58	31.32	31.38
-81.27	-81.08	32	32
-83.52	-83.42	34.62	34.65
-84.8	-84.8	33.37	33.37
-89.58	-89.5	42.02	41.95
-87.83	-87.75	40.65	40.67
-88.43	-88.4	41.08	40.9
-85.65	-85.65	38.8	38.8
-85.63	-85.63	38.82	38.82
-87.43	-87.27	38	38.07
-86.25	-86.25	39.73	39.73
-86.97	-86.97	39.55	39.55
-85.38	-85.38	41.5	41.5
-86.65	-86.65	41.28	41.28
-86.12	-86.05	41.2	41.23
-85.85	-85.85	40.13	40.13
-86.02	-86.02	40.08	40.08
-86.72	-86.72	41.6	41.6
-85.82	-85.82	40.82	40.82
-85.58	-85.58	41.03	41.03
-86.37	-86.37	39.62	39.62
-95.65	-95.2	42.28	42.18
-91.83	-91.68	42.05	42.1
-92.42	-92.37	40.78	40.83
-91.32	-91.32	41.42	41.42
-94.25	-94.22	43.25	43.02
-93.57	-93.6	42.15	42.18
-96.17	-96.17	42.45	42.45
-91.8	-91.8	43.25	43.25
-94.07	-93.82	42.92	42.65
-94.6	-94.43	42.63	42.45
-91.83	-91.83	43.15	43.15
-95.77	-95.22	40.92	40.53
-90.38	-90.35	41.87	41.83
-94.48	-94.45	43.3	43.22
-93.9	-93.9	41.6	41.6
-94.25	-94.2	42.97	42.92
-91.77	-91.77	43.15	43.15
-92.95	-92.88	41.73	41.8
-93.87	-93.78	42.42	42.47
-93.5	-93.35	41.43	41.52
-94.95	-94.57	40.58	40.9
-94.38	-93.63	40.77	41.37
-93.18	-93.18	46.15	46.15
-95.03	-94.92	40.57	40.7
-94.2	-94.02	41.67	41.53
-93.8	-93.73	42.52	42.42
-97.85	-97.85	39.72	39.72
-100	-99.98	37.68	37.72
-97.5	-97.5	39.7	39.7
-96.97	-96.97	37.47	37.47
-100.08	-100.02	39.23	39.28
-95.73	-95.68	39.1	39.15
-96.35	-95.42	39.25	39.57
-101.2	-101.2	39.57	39.57
-95.33	-95.3	39.57	39.6
-98.82	-98.67	37.28	37.28
-100.75	-100.7	38.75	38.75
-98.88	-98.88	38.15	38.15
-101	-101.08	38.62	38.55
