x	xend	y	yend
-87.47	-87.47	31.12	31.15
-87.37	-87.35	34.12	34.18
-86.72	-86.63	32.43	32.47
-88.05	-88.05	33.73	33.73
-88.12	-88.12	30.37	30.37
-87.72	-87.72	33.5	33.5
-87.58	-87.58	34.15	34.15
-87.35	-87.35	31.43	31.43
-87.97	-87.92	33.57	33.65
-87.85	-87.85	33.38	33.4
-88.02	-88.02	30.23	30.23
-87.87	-87.85	33.9	33.95
-87.33	-87.33	34.08	34.1
-87.68	-87.68	33.82	33.82
-85.95	-85.98	32.25	32.32
-85.77	-85.77	32.15	32.15
-88.25	-88.18	33.05	33.1
-87.55	-87.55	34.28	34.28
-86.98	-86.98	33.47	33.47
-87.9	-87.9	33.17	33.17
-85.67	-85.67	33.85	33.87
-85.28	-85.28	32.47	32.47
-86.15	-86.13	32.73	32.73
-88.3	-88.15	33.35	33.37
-87.07	-87.02	32.52	32.57
-85.22	-85.2	32.65	32.65
-88.25	-88.25	30.78	30.78
-85.77	-85.8	32.48	32.52
-85.62	-85.6	34.42	34.42
-85.82	-85.83	32.58	32.63
-88.17	-88.15	33.13	33.15
-87.78	-87.72	33.25	33.42
-87.88	-87.88	33.17	33.17
-86.22	-86.22	32.72	32.72
-86.97	-86.97	33.77	33.77
-87.77	-87.77	33.1	33.1
-85.47	-85.47	32.73	32.73
-87.72	-87.67	33.3	33.37
-85.57	-85.57	34.4	34.42
-86.42	-86.42	31.4	31.4
-85.65	-85.65	34.4	34.4
-85.8	-85.8	32.52	32.52
-86.43	-86.43	31.08	31.08
-85.98	-85.95	32.4	32.48
-86.55	-86.55	32.42	32.42
-86.37	-86.37	31.5	31.5
-85.58	-85.58	32.8	32.8
-87.77	-87.7	33.23	33.32
-86.35	-86.35	31.02	31.02
-85.9	-85.93	32.52	32.55
-86.33	-86.33	31.28	31.28
-88.12	-88.12	33.75	33.75
-87.63	-87.62	32.67	32.67
-87.5	-87.5	31.03	31.03
-87.05	-87.03	34.1	34.12
-87.77	-87.77	33.22	33.28
-86.57	-86.55	33.22	33.23
-88.08	-88	32.85	32.92
-87.7	-87.62	33.35	33.38
-86.02	-86.03	32.27	32.37
-86.68	-86.7	32.62	32.62
-86.67	-86.67	32.5	32.5
-87.7	-87.7	33.28	33.28
-87.18	-87.17	33.83	33.83
-87.62	-87.52	33.23	33.28
-87.77	-87.77	33.17	33.18
-85.83	-85.53	33.1	33.13
-85.17	-85.12	31.1	31.13
-87.35	-87.35	31.47	31.47
-88.07	-88.03	32.48	32.52
-87.88	-87.88	31.53	31.53
-87.98	-87.98	31.5	31.5
-88.2	-88.2	30.92	30.92
-88.25	-88.25	30.78	30.78
-85.5	-85.37	31.97	32.03
-85.7	-85.52	31.98	32.05
-86.25	-86.18	31.9	31.9
-85.62	-85.58	33.07	33.08
-85.85	-85.57	33.1	33.17
-86.78	-86.77	32.28	32.3
-86.88	-86.75	33.27	33.38
-110.62	-110.5	35.83	36.77
-109.6	-109.6	34.47	34.47
-111.42	-111.42	35.88	35.88
-111.45	-111.45	36.3	36.3
-110.8	-110.8	32.07	32.07
-109.85	-109.85	34.83	34.83
-109.37	-109.37	34.5	34.5
-109.55	-109.55	35.12	35.12
-92.5	-92.45	33.58	33.57
-93.83	-93.83	35.53	35.53
-91.73	-91.67	33.7	33.68
-93.18	-93.18	35.18	35.2
-93.43	-93.4	35	35.03
-91.33	-91.28	34.2	34.2
-91.28	-91.28	33.12	33.13
-92.77	-92.75	34.87	34.88
-92.4	-92.35	36.23	36.28
-91.78	-91.67	36.47	36.47
-91.38	-91.4	33.3	33.33
-93.6	-93.52	34.87	34.9
-92.72	-92.55	35.12	35.27
-92.17	-92.17	35.47	35.47
-92.03	-92.03	35.37	35.38
-92.73	-92.45	33.02	33.23
-92.2	-92.23	35.02	35.03
-91.95	-91.88	35.78	35.87
-92.82	-92.78	33.98	34.02
-91.68	-91.6	36.25	36.37
-92.73	-92.72	34.82	34.82
-94.32	-94.25	34.57	34.57
-91.15	-91.22	34.12	34.18
-92.1	-92.17	34.97	35
-90.08	-89.97	35.62	35.7
-93.43	-93.37	34.4	34.43
-91.68	-91.67	36.23	36.23
-92.5	-92.47	35.35	35.38
-91.35	-91.1	34.15	34.23
-92.05	-92.13	34.9	34.95
-91.82	-91.93	35.22	35.3
-91.47	-91.48	34.05	34.07
-93.08	-93	34.77	34.85
-91.85	-91.83	35.42	35.43
-91.97	-92.07	34.7	34.77
-92.15	-92.12	36.48	36.5
-92.73	-92.7	35.8	35.8
-92.77	-92.75	35.07	35.08
-91.37	-91.28	36.23	36.27
-93.5	-93.47	34.33	34.38
-92.88	-92.85	35.17	35.18
-92.07	-92.07	34.9	34.92
-93.65	-93.52	34.22	34.33
-92.87	-92.7	35.2	35.33
-91.23	-91.32	33.7	33.83
-91.75	-91.67	36.18	36.22
-91.37	-91.43	34	34.1
-92.93	-92.77	34.82	35.08
-92.7	-92.73	35.38	35.38
-92.9	-92.87	35.1	35.17
-92.57	-92.48	35.28	35.33
-92.47	-92.35	35.37	35.53
-91.27	-91.27	33.22	33.22
-92.27	-92.23	35.52	35.55
-92.28	-92.3	35.35	35.37
-93.4	-93.35	34.47	34.5
-92.05	-92.05	34.13	34.15
-92.47	-92.38	35.17	35.25
-93.3	-93.13	34.4	34.53
-93.12	-93.07	34.73	34.77
-92.27	-92.17	35.38	35.5
-92.07	-92.07	35.68	35.7
-92.72	-92.7	35.7	35.73
-92.35	-92.3	35.27	35.3
-92.35	-92.32	35.57	35.62
-91.87	-91.97	33.4	33.45
-93.35	-93.3	34.35	34.42
-91.8	-91.88	33.27	33.35
-93.27	-93.25	34.57	34.57
-121.53	-121.53	38.58	38.58
-121.45	-121.45	38.57	38.57
-122.03	-122.02	38.88	38.88
-121.43	-121.43	37.75	37.75
-117.17	-117.15	33.48	33.5
-121.57	-121.57	39.45	39.45
-118	-118	33.67	33.67
-123.12	-123.12	38.62	38.62
-117.3	-117.3	33.7	33.7
-116.97	-116.97	33.72	33.72
-117.15	-117.15	33.42	33.42
-121.47	-121.47	38.62	38.62
-119.17	-119.17	34.23	34.23
-117.43	-117.43	34.1	34.1
-117.28	-117.25	33.35	33.38
-122.42	-122.42	37.65	37.65
-122.2	-122.2	39.62	39.62
-121.62	-121.62	39.13	39.13
-117.08	-117.08	32.63	32.63
-119.68	-119.68	36.63	36.63
-121.67	-121.65	39.1	39.1
-116.95	-117	33.73	33.72
-121.47	-121.47	38.67	38.67
-121.3	-121.25	37.82	37.83
-121.8	-121.8	39.62	39.63
-121.3	-121.3	38.5	38.5
-121.98	-121.98	38.37	38.37
-121	-121	37.65	37.65
-120.72	-120.7	37.45	37.45
-117.98	-117.98	34.72	34.72
-105.95	-105.95	37.15	37.15
-105.95	-105.95	37.15	37.15
-103.58	-103.58	39.9	39.9
-102.65	-102.65	39.65	39.65
-102.58	-102.52	37.2	37.22
-104.47	-104.47	39.35	39.35
-102.38	-102.37	37.58	37.58
-104.13	-104.13	39.98	39.98
-104.82	-104.82	39.97	39.97
-103.62	-103.62	39.2	39.2
-103.07	-103.07	40.85	40.85
-108.95	-108.95	39.28	39.28
-102.3	-102.22	39.7	39.77
-103.58	-103.58	40.28	40.28
-104.32	-104.32	39.47	39.47
-103.1	-103.1	40.7	40.7
-104.6	-104.6	38.97	38.97
-105.68	-105.68	38	38
-102.93	-102.93	39.73	39.73
-102.98	-102.98	39.38	39.38
-103.27	-103.27	39.3	39.3
-103.7	-103.7	39.17	39.17
-103.17	-103.17	37.25	37.25
-108.88	-108.88	38.33	38.33
-102.97	-102.97	37.28	37.28
-104.5	-104.5	39.72	39.72
-108.57	-108.57	39.02	39.02
-107.98	-107.98	38.63	38.63
-103.58	-103.58	40.38	40.38
-105.08	-105.08	40.82	40.82
-103.3	-103.3	40.67	40.67
-103.65	-103.65	40.6	40.6
-103.35	-103.35	40.17	40.17
-102.1	-102.1	40.52	40.52
-84.38	-84.32	30.18	30.22
-86.5	-86.5	30.48	30.48
-86.87	-86.87	30.85	30.85
-86.87	-86.87	30.4	30.4
-86.77	-86.77	30.72	30.72
-81.57	-81.57	27.8	27.8
-85.68	-85.68	30.23	30.27
-80.58	-80.58	28.03	28.03
-82.68	-82.7	27.82	27.82
-82.43	-82.4	27.53	27.48
-80.58	-80.58	28.03	28.03
-84.23	-84.23	30.3	30.3
-81.98	-81.88	27.93	27.97
-82.8	-82.8	27.9	27.9
-82.9	-82.9	30.25	30.25
-80.58	-80.58	28.08	28.08
-80.32	-80.32	26.67	26.67
-86.93	-86.97	30.85	30.85
-82.98	-83.05	30.33	30.45
-81.82	-81.8	27.53	27.53
-82.48	-82.5	28.9	28.9
-82.32	-82.32	27.97	27.97
-82.53	-82.53	27.85	27.85
-85.2	-85.18	30.12	30.13
-87.27	-87.27	30.97	30.97
-82.27	-82.27	29.52	29.52
-81.45	-81.5	27.4	27.4
-81.3	-81.35	25.92	25.95
-82.27	-82.28	27.92	27.92
-80.2	-80.2	25.77	25.77
-82.07	-82.07	26.93	26.93
-82.22	-82.13	29.17	29.18
-80.57	-80.57	28.03	28.03
-80.12	-80.12	25.8	25.8
-85.35	-85.35	29.93	29.93
-81.98	-81.98	27.9	27.9
-80.72	-80.72	28.33	28.35
-81.8	-81.8	27.48	27.48
-83.07	-83.05	30	29.98
-85.7	-85.7	30.83	30.82
-86.47	-86.47	30.97	30.97
-80.18	-80.18	26.47	26.47
-81.88	-81.88	27.98	27.98
-81.63	-81.57	29.65	29.72
-82.77	-82.77	27.88	27.9
-87.15	-87.15	30.6	30.6
-87.43	-87.43	30.97	30.97
-82.48	-82.47	28.2	28.22
-87.02	-87.02	30.6	30.6
-81.03	-81.03	27.38	27.38
-80.32	-80.32	27.27	27.27
-87.33	-87.33	30.62	30.62
-81.67	-81.67	26.05	26.05
-87.03	-87.03	30.63	30.63
-83.02	-82.98	32.27	32.28
-83.85	-83.83	34.52	34.57
-82.58	-82.58	31.47	31.47
-83.88	-83.88	31.48	31.48
-81.75	-81.7	33.03	33.05
-83.85	-83.85	31.5	31.5
-81.97	-81.97	32.2	32.2
-84.15	-84.15	31.13	31.13
-85.08	-85.1	33.4	33.48
-82.32	-82.32	33.75	33.75
-83.87	-83.85	31.53	31.53
-82.02	-82.02	31.48	31.48
-83.25	-83.25	31.6	31.6
-83.5	-83.5	32.13	32.13
-83.8	-83.8	31.25	31.25
-84.73	-84.75	31.4	31.43
-83.98	-83.98	30.95	30.95
-84.27	-84.25	33.55	33.55
-83.58	-83.52	32.02	32.02
-84.12	-84.12	34.48	34.53
-82.23	-82.15	32.88	32.88
-83.7	-83.72	34.67	34.73
-84.28	-84.27	33.48	33.48
-84.07	-83.98	31.23	31.23
-85.22	-85.25	34.02	34.05
-84.87	-84.9	33.8	33.82
-84.23	-84.25	32.6	32.63
-83.77	-83.77	34.12	34.12
-84.32	-84.3	33.38	33.42
-83.57	-83.57	33.87	33.87
-83.67	-83.7	34.37	34.55
-82.85	-82.75	32.63	32.67
-84.92	-84.68	31.05	31.13
-85.2	-85.22	33.87	33.9
-82.13	-82.13	31.18	31.18
-84.73	-84.73	30.95	31
-82.87	-82.85	30.97	30.97
-84.17	-84.17	33.45	33.45
-84.12	-84.12	34.3	34.32
-83.73	-83.73	33.95	33.97
-84.1	-84.07	33.48	33.5
-82.42	-82.42	33.5	33.5
-84.43	-84.42	33.43	33.43
-84.57	-84.57	33.28	33.28
-82.88	-82.87	31.55	31.53
-82.33	-82.33	33.68	33.68
-83.72	-83.72	33.65	33.65
-84.22	-84.22	34.88	34.9
-84	-83.95	31.23	31.25
-84.22	-84.22	33.25	33.27
-83.88	-83.88	32.55	32.6
-84.68	-84.68	33.15	33.15
-81.48	-81.47	31.27	31.3
-80.9	-80.9	31.97	31.97
-112.5	-112.5	42.02	42.02
-112.47	-112.47	43.83	43.83
-112.07	-112.08	43.33	43.33
-112.55	-112.55	44.17	44.17
-114	-114	43.28	43.28
-113.95	-113.95	43.3	43.3
-89.85	-89.82	39.07	39.08
-89.4	-89.4	40.78	40.78
-90.35	-90.35	40.98	40.98
-90.18	-90.18	39.1	39.1
-90.93	-90.9	41.05	41.05
-88.57	-88.53	39.77	39.8
-89	-89	39.68	39.68
-88.95	-88.95	39.78	39.78
-89.95	-89.95	39.03	39.03
-89.65	-89.65	39.35	39.35
-89	-88.9	38.17	38.15
-89.18	-89.02	37.2	37.3
-89.95	-89.95	39.07	39.07
-89.92	-89.85	39.05	39.07
-88.27	-88.12	38.92	39.02
-91.02	-91.02	39.87	39.83
-91.17	-91.17	40	40
-88.65	-88.65	37.78	37.78
-88.32	-88.32	37.98	37.98
-88.78	-88.77	37.17	37.17
-88.82	-88.75	38.73	38.78
-87.13	-86.88	38.68	38.82
-86.22	-86.13	40.68	40.68
-85.73	-85.8	38.92	39
-86.47	-86.47	38.95	38.95
-85.8	-85.78	39.32	39.35
-85.98	-85.98	41.3	41.3
-86.28	-86.27	40.95	40.95
-87.55	-87.05	37.95	38.1
-86.52	-86.52	40.28	40.28
-86.15	-86.15	39.72	39.73
-87.7	-87.6	37.87	37.9
-86.38	-86.38	40.33	40.33
-86.2	-86.2	40.47	40.47
-86.77	-86.77	40.38	40.38
-85.57	-85.53	40.57	40.6
-85.4	-85.4	39.92	39.92
-94.4242	-94.1107	42.319	42.4215
-94.05	-94.05	42.4	42.4
-93.52	-93.52	42.67	42.67
-93.18	-93.18	43.15	43.15
-91.77	-91.72	42.5	42.5
-93.97	-93.97	42.47	42.47
-93.63	-93.63	42.53	42.53
-93.75	-93.75	42.52	42.52
-93.13	-93.12	43.1	43.12
-92.68	-92.68	42.07	42.07
-93.92	-93.78	41.93	42.02
-95.9	-95.87	43.07	43.07
-93.62	-93.62	42.03	42.03
-94.1	-94.05	40.62	40.57
-94.55	-94.55	41.92	41.92
-94.08	-93.88	42.17	42.35
-92.72	-92.72	40.97	40.97
-95.07	-95.05	41.58	41.58
-94.92	-94.88	41.68	41.7
-95.08	-95.05	41.58	41.6
-95.48	-95.48	43.12	43.12
-93.7	-93.6	42.02	42.13
-95.22	-95.22	42.17	42.17
-94.0454	-93.9065	41.7599	41.8691
-93.62	-93.6	42.17	42.18
-96.4	-96.4	42.97	42.97
-96.55	-96.53	42.82	42.82
-96.43	-96.43	42.92	42.92
-93.55	-93.55	42.43	42.43
-94.28	-94.27	42.98	43
-93.52	-93.43	42.17	42.27
-91.53	-91.52	42.18	42.18
-92.93	-92.93	43.28	43.28
-93.1	-93.07	42.47	42.48
-92.78	-92.73	43.43	43.47
-92.8	-92.8	42.87	42.87
-93	-93	41.38	41.38
-93.13	-93.1	43.1	43.15
-93.25	-93.25	41.22	41.22
-94.6	-94.6	40.7	40.7
-93.03	-93.03	43.25	43.25
-93.62	-93.62	42.03	42.03
-94.72	-94.72	43.42	43.42
-93.22	-93.22	41.23	41.23
-99.05	-98.97	38.7	38.7
-99.92	-99.92	39.13	39.13
-99.27	-99.17	38.87	38.95
-98.85	-98.83	39.03	39.05
-99.02	-98.95	38.72	38.82
-98.88	-98.87	38.88	38.88
-100.13	-100.13	39.02	39.05
-95.1	-95.1	37.42	37.42
-99.75	-99.75	38.97	39.02
-96.07	-96.07	39.68	39.68
-99.92	-99.93	39	39.05
-99.77	-99.77	38.8	38.8
-100.1	-100.1	39.17	39.17
-95.73	-95.73	37.27	37.27
-99.83	-99.82	38.98	39
-99.75	-99.8	38.77	38.83
-100.23	-100.12	37.37	37.32
-100.28	-100.28	38.8	38.8
-101.02	-101.02	38.48	38.48
-99.73	-99.67	38.9	38.98
-99.93	-99.93	38.98	38.98
-99.55	-99.47	39.08	39.08
-100.42	-100.42	37	37.02
-95.35	-95.27	37.42	37.43
-100.92	-100.92	38.7	38.7
-98.92	-98.92	38.83	38.83
-96.98	-96.98	37.07	37.07
-96.48	-96.48	39.23	39.23
-96.8	-96.78	37.05	37.07
-95.03	-95.03	37.03	37.03
-98.93	-98.93	38.82	38.82
-101.37	-101.35	37.7	37.77
-95.77	-95.73	37.87	37.85
-96.02	-96.02	37.23	37.23
-98.2	-98.2	38.48	38.48
-94.95	-94.92	37.25	37.23
-95.13	-95.07	39.42	39.43
-100.08	-100.08	39.05	39.07
-98.92	-98.83	38.37	38.32
-95.47	-95.47	37.68	37.68
-99.55	-99.52	38.98	39
-98.7	-98.72	38.42	38.37
-101.18	-101.18	37.33	37.33
-95.53	-95.45	39.77	39.78
-98.12	-98.12	37.95	37.95
-95.22	-95.23	37.38	37.38
-98.73	-98.73	38.53	38.53
-101.35	-101.23	37.6	37.73
-97	-97	37.07	37.1
-100.53	-100.53	39.8	39.8
-101.42	-101.42	37.58	37.58
-99.77	-99.77	39.33	39.33
-98.83	-98.83	38.42	38.42
-98.12	-97.95	39.28	39.35
-99.05	-99.05	38.62	38.62
-95.22	-95.17	37.58	37.68
-99.95	-99.8	39.28	39.35
-99.6	-99.57	39.27	39.28
-98.4	-98.4	38.5	38.5
-96.82	-96.72	37.05	37.17
-94.85	-94.62	37.13	37.08
-96.67	-96.7	38.58	38.65
-99.77	-99.77	39.33	39.33
-95.37	-95.37	39.25	39.25
-101.43	-101.43	37.47	37.47
-101.15	-101.17	37.77	37.78
-97.7	-97.7	38.3	38.3
-100.52	-100.55	37.65	37.63
-100.4	-100.4	39.82	39.82
-100.57	-100.57	37.58	37.58
-99.53	-99.35	39.3	39.42
-100.88	-100.88	38.25	38.25
-95.98	-95.98	38.27	38.3
-95.12	-95.12	37.77	37.77
-100.42	-100.38	37.32	37.33
-99.25	-99.27	39.47	39.45
-95.23	-95.22	39.57	39.53
-98.2	-98.2	37.9	37.88
-96.72	-96.72	39.22	39.22
-96.77	-96.77	39.48	39.5
-98.48	-98.48	37.7	37.7
-100.7	-100.7	37.6	37.6
-99.3	-99.25	39.43	39.47
-100.3	-100.3	38.8	38.8
-100.98	-100.98	37.93	37.93
-96.28	-96.28	37.62	37.62
-97.02	-97.02	38.85	38.87
-100.33	-100.22	37.32	37.4
-100.6	-100.63	37.72	37.67
-98.97	-98.98	39.47	39.47
-96.65	-96.65	38.82	38.82
-96.78	-96.78	39.3	39.3
-99.78	-99.67	38.9	38.98
-99.95	-99.98	38.42	38.42
-96.77	-96.77	38.98	38.98
-101.78	-101.73	38.78	38.77
-100.23	-100.23	37.37	37.35
-95.2	-95.12	37.42	37.48
-95.08	-95.08	37.33	37.33
-96.93	-96.93	38.52	38.52
-96.8	-96.75	39.07	39.12
-100.78	-100.8	37.53	37.53
-96.77	-96.77	39.02	39.03
-96.82	-96.83	38.63	38.9
-95.53	-95.53	37.28	37.28
-96.98	-96.98	38.37	38.37
-100.43	-100.4	37.38	37.4
-99.98	-99.98	38.38	38.38
-96.85	-96.87	38.55	38.58
-97.05	-96.98	38.38	38.58
-101.8	-101.72	39.58	39.6
-99.55	-99.55	37.15	37.15
-100.75	-100.78	37.28	37.2
-100.8	-100.82	37.13	37.12
-99.77	-99.75	38.95	39
-100	-99.9	38.85	38.92
-96.92	-96.88	38.43	38.45
-98	-98	37.82	37.82
-100.45	-100.45	37.38	37.38
-99.47	-99.37	39.27	39.37
-97.9	-97.88	37.75	37.73
-94.85	-94.73	37.55	37.55
-99.9	-99.83	38.72	38.75
-99.48	-99.45	37.15	37.18
-98.3	-98.3	37.07	37.08
-100.77	-100.62	37.48	37.37
-95.48	-95.48	37.48	37.48
-96.08	-96.08	37.42	37.42
-99.9	-99.83	38.8	38.83
-101.98	-101.93	37.33	37.32
-101.37	-101.37	39.78	39.78
-94.9	-94.87	39.73	39.75
-100.08	-100.05	38.73	38.77
-100.3	-100.3	37.52	37.52
-99.87	-99.78	38.92	38.95
-97.57	-97.57	37.77	37.77
-87.87	-87.87	37.1	37.1
-87.22	-87.22	37.55	37.55
-87.53	-87.35	37.25	37.42
-87.47	-87.47	36.97	36.97
-86.55	-86.53	36.85	36.85
-88.63	-88	36.68	37.05
-85.77	-85.77	38.23	38.23
-85.92	-85.9	37.28	37.28
-87.58	-87.55	37.88	37.9
-86.87	-86.73	36.68	36.73
-88.83	-88.83	37.15	37.15
-87.13	-87.12	37.63	37.63
-88.05	-87.87	37.42	37.48
-83.58	-83.58	37.75	37.75
-87.78	-87.7	37.83	37.85
-87.78	-87.05	37.83	38.1
-86.65	-86.63	36.8	36.8
-87.28	-87.28	36.83	36.87
-85.12	-85.13	38.03	38.03
-91.03	-91.03	32.35	32.35
-89.98	-89.98	29.87	29.87
-91.22	-91.2	32.43	32.42
-91.55	-91.4	31.72	31.88
-90.83	-90.83	29.82	29.82
-91.55	-91.53	31.7	31.7
