x	xend	y	yend
-88.25	-88.17	31.37	31.4
-87.3	-87	31.5	31.77
-87.65	-87.52	31.03	31.08
-87.95	-87.53	34.03	34.38
-86.6	-86.53	33.68	33.72
-87.82	-87.73	31.9	31.92
-85.97	-85.57	31.68	31.73
-85.57	-85.45	32.65	32.68
-85.38	-85.38	33.13	33.13
-85.4	-85.4	31.22	31.22
-87.93	-87.87	32.82	32.83
-111.63	-111.7	32.97	33.43
-110.53	-110.53	32.23	32.23
-109.83	-109.83	32.25	32.25
-112.27	-112.27	33.45	33.45
-110.3	-110.3	31.55	31.55
-111.92	-111.87	33.37	33.42
-90.47	-90.37	36.43	36.45
-92.65	-92.6	35.15	35.22
-91.9	-91.9	34.78	34.78
-93.33	-93.2	34.07	34.17
-90.42	-90.42	35.52	35.57
-94.43	-93.97	34.62	34.58
-93.68	-93.42	35.7	35.7
-91.75	-91.75	34.78	34.78
-92.6	-92.22	36.25	36.37
-94.03	-94.03	33.57	33.57
-90.83	-90.83	35.05	35.05
-91.57	-91.37	33.45	33.63
-90.78	-90.78	35.15	35.22
-93.9	-93.57	33.82	33.72
-117	-117	32.6	32.6
-103	-102.92	38.35	38.4
-103.12	-103.12	40.57	40.57
-102.28	-102.28	40.57	40.57
-102.97	-102.85	37.38	37.57
-103.12	-103.12	40.57	40.57
-102.48	-102.48	40.17	40.17
-102.32	-102.32	39.95	39.95
-103.98	-103.98	40.62	40.62
-103.98	-103.98	40.62	40.62
-102.82	-102.82	39.98	39.98
-103.18	-103.18	37.3	37.3
-102.27	-102.27	40.35	40.35
-103.1	-103.1	40.25	40.25
-73.05	-73.05	41.55	41.55
-80.15	-80.08	26.2	26.22
-87.37	-87.33	30.47	30.52
-83.42	-83.42	30.47	30.47
-87.3	-87.13	30.47	30.5
-80.07	-80.07	26.52	26.52
-82.47	-82.47	27.97	27.97
-87.3	-87.3	30.37	30.37
-81.55	-81.33	29.9	29.92
-82.17	-82.05	27.02	27.02
-82.47	-82.42	27.13	27.18
-82.38	-82.3	27.12	27.15
-82.22	-82.12	27.3	27.33
