x	xend	y	yend
-87.9	-87.87	33.33	33.37
-85.7	-85.67	34.5	34.53
-86.93	-86.93	33.6	33.6
-87	-86.63	34.6	34.68
-86.75	-86.67	34.02	34.07
-87.67	-87.62	33.57	33.62
-85.97	-85.97	32.92	32.92
-90.52	-89.9	35.67	35.95
-90.42	-90.28	35.53	35.62
-90.72	-90.52	35.6	35.67
-94.4	-93.9	34.57	34.95
-91	-91	35.42	35.42
-91.63	-91.63	35.9	35.9
-91.2	-90.97	35.47	35.8
-93.97	-93.97	33.45	33.47
-91.4	-91.4	34.42	34.42
-91.55	-91.55	34.48	34.48
-93.97	-93.97	33.45	33.47
-92.08	-92.08	34.7	34.7
-91.45	-91.18	35.13	35.27
-91.8	-91.65	34.53	34.73
-91.25	-91.08	35	35.13
-92.42	-92.42	34.95	34.95
-91.7	-91.52	35.22	35.37
-91.85	-91.8	34.9	34.8
-90.93	-90.93	36.12	36.12
-94.02	-93.97	34.02	34.22
-92.82	-92.52	34.72	34.78
-91.8	-91.73	34.8	34.98
-104.57	-104.47	40.33	40.25
-82.38	-82.38	28.55	28.55
-82.65	-82.65	27.75	27.75
-85.7	-85.7	30.17	30.17
-82.82	-82.82	27.93	27.93
-83.25	-83.2	31.37	31.4
-83.58	-83.42	34.37	34.37
-83.68	-83.62	32.8	32.78
-83.33	-83.2	34.4	34.42
-83.5	-83.5	31.47	31.47
-82.33	-82.33	32.58	32.58
-83.97	-83.9	33.03	33.03
-84.02	-83.9	31.27	31.33
-90.37	-90.32	39.18	39.22
-90.02	-90.02	39.5	39.5
-89.93	-89.87	38.1	38.15
-90.78	-90.78	41.1	41.1
-86.77	-86.73	37.93	37.95
-86.07	-85.78	39.8	39.87
-91.08	-91.08	41.55	41.55
-93.08	-93.08	43.33	43.33
-92.97	-92.97	42.75	42.75
-96.1	-96.1	43.4	43.4
-95.85	-95.42	42.75	42.9
-95.4	-95.33	41.9	41.88
-99.42	-99.42	37.93	37.93
-95.87	-95.87	39.67	39.67
-98.52	-98.45	39	39.05
-100.08	-100.08	37.08	37.08
-99.45	-99.25	39.68	39.77
-100.12	-100.08	39.75	39.78
-100.2	-100.13	39.83	40
-99.83	-99.83	37.75	37.75
-95.15	-94.68	39.13	39.13
-101.85	-101.85	39.27	39.27
-95.22	-94.72	38.98	39.07
-99.47	-99.47	37.87	37.87
-98.67	-98.67	38.07	38.07
-97.42	-97.37	37.18	37.22
-87.3	-86.77	37.68	37.93
-87.3	-86.73	37.68	37.95
-85.72	-85.67	37.53	37.55
-92.87	-92.3	30.17	30.37
-93.65	-93.07	32.23	32.78
-91.62	-91.55	29.87	29.93
-92.13	-91.8	30.37	30.4
-77.22	-77.23	39.02	39.03
-96.22	-95.93	45.58	45.58
-93.85	-93.07	44.33	45.2
-95.28	-93.47	44	44.85
-95.5	-95.33	45.3	45.35
-96.53	-96.42	46.72	46.83
-96.18	-96.12	45.87	45.82
-89.68	-89.28	34.87	35.12
-89.68	-89.58	34.87	35
-89.48	-89.48	30.42	30.42
-88.47	-88.47	33.85	33.85
-89.1	-89.1	32.77	32.77
-93.27	-93.23	38.68	38.7
-89.93	-89.87	36.07	36.15
-90.5	-90.22	37.75	37.88
-89.78	-89.73	37.37	37.45
-89.82	-89.7	36.05	36.07
-94.27	-94.23	38.9	38.93
-95.07	-94.68	40.45	40.57
-104.25	-103.88	46.97	47.02
-104.25	-104.05	46.97	47
-96.93	-96.92	40.63	40.58
-103.07	-103.07	41.42	41.42
-97.28	-96.38	41.47	41.25
-103	-102.58	41.17	40.92
-96.58	-96.22	41.22	40.93
-103.33	-103.33	41.18	41.18
-74.6	-74.07	40	40.42
-74	-73.92	44.33	44.38
-80.17	-80.17	36.25	36.25
-78.88	-78.88	35.8	35.9
-77.75	-77.75	36.25	36.25
-77.25	-77.25	36.1	36.1
-103.55	-103.33	47.82	47.8
-100.5	-99.5	47.05	47.2
-97.17	-97.17	47.92	47.92
-103.02	-102.8	46.78	46.78
-98.67	-98.5	47	47
-104.05	-103.88	47	47.02
-81.5	-81.5	40.53	40.53
-81.5	-81.5	41.42	41.42
-98.43	-98.43	34.65	34.65
-97.5	-97.43	35.8	35.85
-97.92	-97.92	34.75	34.75
-99.08	-98.83	36.77	36.77
-96.82	-96.82	36.02	36.02
-100.88	-100.88	36.87	36.87
-98.87	-98.65	34.67	34.83
-98.32	-98.32	36.07	36.07
-97.83	-97.78	35.33	35.37
-95.7	-95.7	36.32	36.32
-99.68	-99.68	35.62	35.62
-99.87	-99.3	34.88	36.15
-100	-100	35.5	35.5
-99.7	-99.35	35.25	35.85
-99	-99	34.38	34.38
-79.75	-79.63	41.93	41.92
-77.57	-77.57	40.62	40.62
-76.98	-76.72	39.8	39.95
-76.8	-76.8	40.23	40.23
-82.25	-81.85	34.8	34.8
