x	xend	y	yend
-85.92	-85.85	33.77	33.78
-85.42	-85.15	33.73	33.73
-85.42	-85.33	33.73	33.73
-85.97	-85.75	32.83	32.88
-86.2	-86.2	33.8	33.8
-87.67	-87.53	34.5	34.6
-86.48	-86.4	32.05	31.98
-86.12	-86.12	33.6	33.6
-86.43	-86.38	33.32	33.33
-86.02	-86.02	34.25	34.25
-88.1	-88.1	32.22	32.22
-85.2	-85.2	31.8	31.8
-86.08	-86.03	34.32	34.33
-86.77	-86.73	31.63	31.67
-86.12	-86.12	33.6	33.6
-86.48	-86.48	34.32	34.32
-86.83	-86.83	31.5	31.5
-87.27	-87.18	34.17	34.2
-86.75	-86.83	34.25	34.27
-87.38	-87.32	34.85	34.9
-86.6	-86.52	34.35	34.38
-86.53	-86.25	31.1	31.28
-86.6	-86.6	31.7	31.7
-85.18	-85.18	32.45	32.45
-86.03	-86.03	34.27	34.27
-86.88	-86.82	31.8	31.83
-111.2	-111.2	35	35
-111.02	-111.02	32.2	32.2
-91.55	-91.33	34.52	34.28
-91.55	-91.33	34.52	34.28
-93.9	-93.9	36.27	36.27
-93.4	-93.3	33.35	33.45
-94.47	-94.47	36.22	36.22
-90.38	-90.28	36.18	36.27
-94.12	-94.07	33.72	33.68
-92.87	-92.82	34.98	35.02
-92.53	-92.3	36.4	36.5
-92.6	-92.6	36.27	36.27
-93.93	-93.93	35.55	35.55
-94.27	-94.27	35.2	35.2
-94.27	-94.27	35.43	35.43
-94.33	-94.33	35.23	35.23
-90.85	-90.58	34.3	34.18
-90.85	-90.75	34.3	34.35
-90.02	-90.02	35.57	35.57
-91.05	-91.05	35.45	35.45
-90.97	-90.97	35.23	35.23
-92.3	-92.3	34.9	34.9
-104.25	-104.25	39.72	39.72
-102.7	-102.7	39.55	39.55
-81.7	-81.7	30.5	30.5
-80.63	-80.63	28.13	28.13
-82.2	-82.2	29.18	29.18
-82.75	-82.75	27.8	27.8
-81.9	-81.83	28.03	28.05
-81.62	-81.62	28.73	28.73
-80.07	-80.07	26.72	26.72
-81.7	-81.65	30.4	30.42
-82.12	-82.12	28.03	28.03
-81.55	-81.55	28.1	28.1
-83.57	-83.5	30.12	30.15
-87.33	-87.33	30.72	30.72
-82.6	-82.6	27.5	27.5
-82.3	-82.3	28.3	28.3
-80.08	-80.08	26.35	26.35
-80.2	-80.2	26.07	26.07
-80.07	-80.07	26.53	26.53
-81.65	-81.65	30.43	30.43
-81.97	-81.97	26.62	26.62
-80.12	-80.12	27.05	27.05
-82.47	-82.47	28.15	28.15
-80.25	-80.25	25.75	25.75
-82.77	-82.72	27.75	27.78
-86.58	-86.42	30.4	30.52
-80.07	-80.07	26.47	26.47
-85.33	-85.15	33.73	33.73
-84.92	-83.83	33.5	33.48
-83.73	-83.4	31.52	31.62
-84	-83.67	32.72	32.9
-89.53	-89.45	39.67	39.7
-88.7	-88.52	38.15	38.23
-89.58	-89.48	39.42	39.45
-89.63	-89.57	38.45	38.63
-90.25	-90.18	38.4	38.42
-90.73	-90.48	40.42	40.5
-87.27	-87.27	39.97	39.97
-85.85	-85.85	40.28	40.28
-85.98	-85.98	41.43	41.5
-85.82	-85.82	40.85	40.85
-87.62	-87.58	38.35	38.38
-85.77	-85.77	41.38	41.38
-85.32	-85.32	40.33	40.33
-95.7	-95.7	42.28	42.28
-93.73	-93.65	42.6	42.65
-91.2	-91.07	43.22	43.32
-94.27	-94	40.9	40.98
-93.45	-93.28	43.37	43.48
-95.35	-95.18	40.72	40.83
-94.23	-94.07	42.92	43.12
-91.25	-91.17	42.33	42.38
-95.23	-95.12	40.65	40.8
-95.05	-94.88	40.73	40.83
-95.43	-95.35	43.43	43.48
-91.47	-91.52	42.12	42.15
-93.25	-93.25	42.75	42.75
-93.98	-93.78	40.93	41.05
-92.9	-92.8	41.4	41.47
-95.05	-94.92	41.4	41.4
-95.6	-95.48	40.75	40.83
-95.45	-95.23	40.7	40.77
-92.8	-92.7	41.05	41.1
-96.42	-95.43	42.52	43.18
-96.17	-95.98	42.78	42.82
-93.78	-93.97	41.6	41.65
-95.97	-95.8	42.78	42.78
-92.67	-92.45	40.67	40.73
-94.47	-94.33	40.92	41.02
-95.23	-95.1	40.67	40.83
-93.9	-93.9	42.1	42.1
-92.33	-92.2	42.52	42.47
-91.9	-91.85	42.6	42.63
-95.47	-95.42	40.75	40.78
-95.38	-95.38	40.9	40.9
-95.6	-95.6	39.67	39.67
-98.88	-98.88	38.47	38.47
-98.72	-98.72	38.32	38.32
-99.08	-99.08	38.47	38.47
-98.6	-98.55	38.57	38.72
-99.32	-99.27	38.8	38.92
-99.02	-99.02	38.92	38.92
-94.85	-94.85	38.77	38.77
-95.47	-95.47	39.85	39.85
-95.53	-95.48	39.87	39.9
-98.68	-98.68	37.5	37.5
-95.28	-95.28	38.55	38.55
-97.48	-97.48	38.28	38.28
-96.65	-96.65	38.35	38.35
-99.03	-98.93	38.87	38.9
-96.85	-96.85	37.8	37.8
-96.72	-96.72	38.28	38.28
-95.73	-95.73	38.27	38.27
-94.98	-94.98	38.33	38.33
-95.13	-95	38.95	38.97
-97.05	-97.05	38.42	38.42
-96.68	-96.68	38.32	38.32
-100.13	-100.13	38.27	38.27
-99.17	-99.17	38.42	38.42
-100.9	-100.83	38.48	38.52
-97.43	-97.43	37.92	37.92
-95.88	-95.88	38.88	38.88
-96.82	-96.82	37.85	37.85
-95.08	-95.08	37.9	37.9
-97.5	-97.5	39.9	39.9
-98.45	-98.15	39.28	39.53
-98.67	-98.47	37.52	37.47
-95.48	-95.23	38.75	39.2
-97.3	-97.3	37.55	37.55
-95.3	-95.13	38.12	38.37
-98.58	-98.1	37.08	37.37
-97.37	-97.23	38.95	39.03
-100.88	-100.88	38.3	38.3
-99.28	-99.22	39.43	39.48
-95.02	-94.87	39.23	39.38
-98.88	-98.33	37.95	38.7
-97.18	-97.18	38.95	38.95
-98.8	-98.43	37.9	37.97
-96.28	-96.28	39.33	39.33
-96.08	-96.08	38.87	38.87
-95.8	-95.8	39.63	39.63
-98.43	-98.37	39.5	39.53
-94.78	-94.78	38.7	38.7
-98.77	-98.77	37.68	37.68
-95.3	-95.23	37.73	37.8
-94.77	-94.7	37.9	37.93
-100.5	-100.5	38.95	38.95
-98.77	-98.8	38.52	38.87
-100.73	-100.62	38.55	38.62
-95.02	-94.88	39.23	39.3
-95.33	-95.3	37.02	37.07
-97.08	-96.95	39.45	39.6
-86	-86	37.9	37.9
-85.92	-85.92	37.52	37.52
-86.55	-86.55	37.55	37.55
-83.95	-83.95	38.53	38.53
-85.92	-85.92	38.2	38.2
-85.2	-85.13	37.1	37.1
-85.72	-85.12	38.18	38.5
-84.7	-84.62	38.2	38.23
-84.63	-83.73	38.3	38.42
-88.45	-88.2	36.7	36.88
-88.9	-88.78	36.67	36.72
-92.25	-92.17	29.83	29.88
-94.03	-93.7	32.43	32.53
-92.78	-92.7	32.47	32.5
-90.22	-90.02	29.93	30.03
-92	-91.92	31.13	31.2
-92.75	-92.7	32.25	32.37
-71.17	-71.17	42.7	42.7
-72.7	-72.7	42.6	42.6
-70.8	-70.73	42.08	42.1
-72.33	-72.23	42.6	42.6
-83.87	-83.87	41.98	41.98
-85.8	-85.8	43.45	43.45
-84.43	-84.3	41.77	41.88
-85.12	-85	42.4	42.32
-84.17	-84.17	42	42
-83.28	-83.28	42.68	42.68
-82.83	-82.75	42.67	42.67
-83.45	-83.38	41.8	41.83
-83.88	-83.62	45.3	45.48
-85.2	-85.2	44.32	44.32
-87.02	-87.02	46.38	46.38
-85.53	-85.2	44.9	44.97
-93.8	-93.8	43.82	43.82
-95.07	-94.97	46.53	46.6
-95.47	-95.37	45.63	45.7
-94.85	-94.85	46.7	46.7
-95.73	-95.7	43.67	43.63
-95.22	-94.37	46.52	46.53
-92.35	-92.33	44.28	44.33
-96.25	-96.02	46.88	46.95
-95.03	-94.92	45.3	45.42
-92.97	-92.97	43.53	43.53
-94.92	-94.85	45.1	45.2
-96.07	-96.02	48.42	48.47
-96.57	-96.57	46.13	46.13
-92.47	-92.47	43.95	44
-92.33	-92.33	43.95	43.95
-94.78	-94.73	45.58	45.65
-95.98	-95.95	46.6	46.63
-89.65	-89.62	30.8	30.83
-90.3	-90.12	34.2	34.4
-90.77	-90.63	33.52	33.65
-90.75	-90.58	34.35	34.18
-90.33	-90.17	36.03	36.13
-91.02	-90.22	37.05	37.25
-94.88	-94.87	39.3	39.38
-94.42	-94.37	39.67	39.75
-94.4	-94.12	38.7	38.9
-93.77	-93.63	38.57	38.68
-93.07	-93.07	40.23	40.23
-94.98	-94.82	40.28	40.38
-94.22	-94.22	38.23	38.23
-105.4	-105.4	45.5	45.5
-100.48	-100.4	40.05	40.05
-98.9	-98.73	40.93	41
-98.55	-97.67	41.12	41.92
-100.07	-100.07	41.57	41.57
-97.85	-97.85	40.6	40.6
-103.13	-103.13	42.22	42.22
-98.38	-97.93	41.4	42.07
-97.12	-97.12	42.42	42.42
-96.92	-96.72	40.4	40.5
-97.83	-97.83	42.05	42.05
-97.1	-97.1	41.27	41.27
-97.92	-97.57	40.02	40.6
-97.88	-97.68	40.15	40.3
-101.88	-101.88	41.1	41.1
-99.78	-99.78	41.6	41.6
-103.83	-103.83	41.87	41.87
-97.22	-97.08	40.83	40.77
-98.17	-98.17	41.95	42.33
-98.73	-98.73	40.78	40.78
-96.7	-96.62	41.3	41.3
-96.97	-96.97	40.62	40.62
-97.58	-97.58	40.87	40.87
-97.1	-97.1	40.9	40.9
-97.73	-97.73	40.42	40.42
-96.5	-96.43	40.68	40.97
-97.02	-97.02	42.23	42.23
-98.58	-98.58	41.52	41.52
-103.5	-103.5	41.73	41.73
-98.6	-98.6	40.82	40.82
-96.8	-96.75	41.32	41.35
-98.37	-97.27	40.55	41.35
-75.15	-74.17	39.83	40.2
-74.07	-74.07	40.2	40.2
-103.35	-103.35	35.1	35.1
-103.5	-103.5	34.2	34.2
-104.93	-104.93	34.3	34.3
-104.9	-104.9	34.3	34.3
-103.1	-103.1	34.6	34.78
-103.05	-103.05	35.18	35.18
-104.5	-104.5	33.5	33.5
-103.3	-103.3	34.18	34.18
-104.58	-104.53	36.53	36.52
-103.13	-103.05	34.4	34.38
-103.13	-102.82	34.4	34.57
-76.7	-76.58	42.3	42.37
-77.33	-77.33	35.73	35.82
-79.43	-79.78	34.8	34.92
-80.65	-80.65	35.18	35.18
-79.33	-79.13	36.4	36.52
-76.85	-76.85	34.8	34.8
-77.98	-77.98	35.5	35.5
-78.9	-78.05	34.3	34.67
-77.07	-76.1	35.87	35.9
-78.8	-78.8	35.08	35.08
-97.13	-97.02	46.27	46.65
-98.2	-98.2	46.7	46.7
-98.07	-97.93	46.87	47
-101.4	-101.4	46.4	46.4
-96.6	-96.57	46.05	46.13
-102.2	-102.2	46.4	46.4
-96.6	-96.57	46.05	46.13
-100.03	-99.5	46.02	46.6
-102.33	-102.33	46.42	46.42
-84.6	-84.6	41.7	41.7
-83.4	-83.4	41.2	41.2
-83.37	-83.37	40.93	40.93
-84.17	-84	40.98	41.03
-99	-99	36.03	36.03
-100	-100	36.42	36.42
-97.37	-97.27	36.13	36.13
-97.35	-97.35	34.82	34.82
-97.35	-97.35	36.75	36.75
-97.8	-97.8	35.5	35.5
-97.5	-97.5	36.5	36.5
-99	-99	36.8	36.8
-99.02	-99.02	36.85	36.85
-96.77	-96.65	34.27	34.3
-95.55	-95.55	34.83	34.83
-98.33	-98.33	34.6	34.6
-102.2	-102.2	36.8	36.8
-96.65	-96.65	34.1	34.1
-96.05	-95.85	34.77	34.77
-99.83	-99.83	36.25	36.25
-95.6	-95.6	36.4	36.4
-95.95	-95.95	35.73	35.73
-97.52	-97.13	36.47	36.73
-98.8	-98.8	36.8	36.8
-98.6	-98.6	36.75	36.75
-95.57	-95.57	34.83	34.83
-96.3	-96.3	35.42	35.42
-94.85	-94.85	34.88	34.88
-99.35	-99.35	34.85	34.85
-99.77	-99.77	35.15	35.15
-99.55	-99.4	35.7	35.82
-98.5	-98.33	35.2	35.3
-97.82	-97.07	36.32	36.75
-96.05	-96.05	36.35	36.35
-99.1	-99.1	36.1	36.1
-97.78	-97.73	36.72	36.75
-96.68	-96.45	33.95	34.08
-98.75	-98.75	36.8	36.8
-98.45	-98.35	35.1	35.18
-99.15	-99.15	35.17	35.17
-95.38	-95.38	36.2	36.2
-98.02	-98.02	36.75	36.75
-99.8	-99.75	35.5	35.53
-80.23	-80.23	41.23	41.23
-76.25	-76.25	41.07	41.07
-77.4	-77.4	40.2	40.2
-80.45	-80.45	34.37	34.37
-82	-82	34.88	34.88
-78.88	-78.88	33.68	33.68
-79.87	-79.87	34.3	34.3
-80.35	-80.35	33.38	33.38
-79.77	-79.77	34.02	34.02
-81.38	-81.38	33.38	33.38
-100.8	-100.8	45.1	45.1
-99.82	-99.72	45.2	45.57
-98.93	-98.83	44.82	44.97
-96.87	-96.82	45.8	45.87
-100.7	-100.7	45.08	45.08
-96.88	-96.88	43.12	43.35
-97.27	-97.27	42.92	42.92
-100.7	-100.68	45.08	45.15
-97.55	-97.55	44.97	44.97
-96.83	-96.8	43.48	43.63
-97.57	-97.57	45.28	45.28
-97.3	-97.3	45.5	45.5
-98.53	-98.53	43.32	43.32
-98.22	-98.1	44.85	44.92
-97.53	-97.53	44.78	44.78
-97.75	-97.75	45.8	45.8
-101.1	-101.1	44.4	44.4
-97.3	-97.3	43.05	43.05
-101.6	-101.6	44.05	44.05
-101.7	-101.67	43.82	44.03
-97.78	-97.78	42.8	42.8
-97.25	-97.25	44.67	44.67
-100.1	-100.05	45.92	45.68
-97.6	-97.2	43.2	43.32
-88.27	-88	35.05	35.38
-89.7	-89.65	35.3	35.4
-89.67	-89.6	35.47	35.55
-86.77	-86.68	36.07	36.12
-96.33	-96.28	29.6	29.62
-102.88	-102.78	30.72	30.78
-100.83	-100.7	32.4	32.43
-95.85	-95.78	33.43	33.5
-103.03	-102.92	34.38	34.47
-95.63	-95.58	31.72	31.73
-102.08	-102.08	31.98	31.98
-98.6	-98.6	29.37	29.37
-94.35	-94.25	32.82	32.88
-95.35	-95.28	29.8	29.83
-97.72	-97.72	30.22	30.22
-94.17	-94.18	31.8	31.78
-102.1	-102.03	34	34.03
-98.5	-98.43	33.9	33.93
-97.45	-97.45	32.8	32.8
-95.48	-95.45	32.67	32.68
-95.38	-95.12	29.92	29.7
-103.05	-102.82	34.38	34.57
-95.62	-95.5	33.65	33.65
-97.72	-97.72	33.78	33.78
-96.2	-96.12	30.3	30.33
-98.68	-98.68	32.22	32.22
-97.23	-97.23	33.63	33.63
-101.17	-101.17	29.7	29.7
-100.88	-100.88	29.62	29.62
-100.88	-100.88	29.62	29.62
-111.83	-111.82	39.15	39.13
-79.47	-79.4	36.98	37.03
-122.1	-122	47.5	47.55
-118.6	-118.38	45.9	45.95
-79.65	-79.65	39.65	39.65
-88.05	-87.98	45.1	45.13
-88.62	-88.62	44.77	44.77
-89.6	-89.5	44.3	44.37
-92.1	-92.03	45.6	45.68
-90.43	-90.38	45.22	45.17
-88.72	-88.17	44.12	44.33
-88.85	-88.8	44.58	44.63
-89.58	-89.37	44.7	44.8
-90.72	-90.4	43.43	43.63
-91.75	-91.63	45.43	45.42
-91.33	-90.9	44.45	44.53
-88.47	-88.4	43.38	43.35
-91.07	-90.95	43.25	43.42
-89.97	-89.62	43.75	43.98
-90.28	-90.2	43.85	43.95
-90.95	-90.78	44.12	44.2
-90.22	-90.13	44.23	44.25
-88.03	-88.03	43.12	43.12
-90.63	-90.32	43.2	43.3
-104.7	-104.7	42.25	42.25
-104.6	-104.6	43.8	43.8
