x	xend	y	yend
-86.1	-85.58	31.03	31.12
-88.08	-88.08	30.6	30.6
-88.27	-88.27	30.88	30.88
-87.2	-87.2	33.42	33.42
-87.68	-87.68	30.28	30.28
-86.25	-85.98	31.23	31.38
-86.17	-86.12	34.08	34.12
-86.95	-86.92	33.33	33.42
-85.63	-85.37	31.2	31.23
-86.6	-86.33	31.4	31.52
-85.45	-85.28	32.6	32.68
-85.58	-85.47	31.73	31.87
-88.03	-88.03	31.07	31.07
-87.08	-87	32.97	33.02
-88.08	-88.08	30.7	30.7
-87.78	-87.78	30.88	30.88
-86.25	-86.2	33.17	33.2
-88.23	-88.23	30.4	30.4
-87.87	-87.87	31.07	31.13
-85.8	-85.72	33.33	33.35
-85.45	-85.4	31.28	31.32
-87.68	-87.55	30.28	30.37
-112.88	-112.42	35.32	35.33
-93.5	-93.45	35.45	35.48
-92.43	-91.83	34.9	35.12
-94.37	-94.27	35.13	35.13
-92.2	-92.07	34.87	34.87
-94.05	-93.68	35.03	35.13
-92.58	-92.27	34.75	34.78
-94.07	-94.07	34.12	34.12
-91.97	-91.97	34.92	34.92
-91.9	-91.87	34.77	34.77
-92.37	-92.25	34.9	34.85
-93.4	-93.33	34.85	34.87
-94.33	-94.33	34.1	34.1
-94.17	-94.17	33.97	33.97
-91.45	-91.25	33.33	33.48
-92.63	-92.63	35	35
-117.2	-117.2	32.78	32.78
-122.22	-122.22	40.13	40.13
-119.7	-119.45	36.37	36.28
-105.08	-105.08	40.02	40.1
-103.98	-103.9	37.78	37.72
-104.27	-104.2	39.52	39.53
-104.27	-104.27	40.98	40.98
-102.7	-102.67	38.62	38.65
-104.3	-104.25	39.68	39.7
-106.37	-106	37.92	37.9
-103.67	-103.6	38.35	38.35
-80.75	-80.75	28.63	28.63
-82.4	-82.4	29.85	29.85
-82.45	-82.45	28.92	28.92
-86.52	-86.52	30.38	30.38
-83.17	-83.08	30.12	30.12
-80.17	-80.08	26.17	26.25
-80.17	-80.1	26.63	26.68
-86.62	-86.62	30.43	30.43
-82.05	-81.98	26.93	26.92
-80.28	-80.28	25.7	25.7
-81.38	-81.38	28.67	28.67
-82.17	-82.17	27.35	27.35
-80.28	-80.28	25.92	25.92
-81.43	-81.43	26.75	26.75
-81.98	-81.98	29.72	29.72
-80.93	-80.93	26.75	26.75
-82.98	-82.98	30.17	30.17
-86.75	-86.75	30.73	30.73
-82.67	-82.67	30.03	30.03
-80.05	-80.05	26.8	26.8
-80.38	-80.38	25.7	25.7
-87.17	-87.13	30.75	30.78
-82.23	-82.17	29.1	29.05
-87.18	-87.18	30.55	30.55
-85.63	-85.63	30.28	30.28
-85.92	-85.87	30.25	30.35
-83.38	-83.38	33.95	33.95
-83.68	-83.32	32.33	32.35
-81.32	-81.28	32.13	32.15
-84.77	-84.73	33.83	33.88
-83.1	-82.75	34	34.25
-83.93	-83.58	32.45	32.55
-81.88	-81.88	31.6	31.6
-82.87	-82.87	34.1	34.1
-84.83	-84.38	32.8	33.42
-81.3	-81.3	31.93	31.93
-83.88	-83.83	34.35	34.4
-83.95	-83.9	30.83	30.85
-84.57	-84.57	31.38	31.38
-84.5	-84.45	33.02	33.1
-84.15	-84.1	33.05	33.2
-83.63	-83.63	34.3	34.3
-81.6	-81.57	31.85	31.9
-83.53	-83.53	33.95	33.95
-111.8	-111.78	43.65	43.67
-89.07	-89.07	39.93	39.93
-88.77	-88.18	40.87	40.62
-87.72	-87.72	41.48	41.48
-88.33	-88.33	41.88	41.88
-89	-89	40.48	40.48
-88.18	-87.98	40.75	40.82
-89.17	-89.17	39.97	39.97
-86.9	-86.9	40.03	40.03
-87.05	-87.05	41.6	41.6
-85.48	-85.37	39.62	39.52
-86.92	-86.8	39.15	39.27
-87.4	-87.4	40.13	40.13
-86.25	-86.25	41.67	41.67
-85.82	-85.82	41.72	41.72
-85.23	-85.08	40.32	40.35
-87.07	-86.8	40.08	39.92
-86.15	-86.15	39.78	39.78
-87.5	-87.5	38.12	38.12
-85.97	-85.93	39.53	39.53
-86.17	-86.17	40.22	40.22
-84.83	-84.83	40.92	40.92
-85.5	-85.5	39.57	39.57
-86.48	-86.48	41.55	41.55
-86.47	-86.47	38.55	38.55
-86.12	-86.12	38.42	38.42
-86.63	-86.63	39.93	39.93
-86.45	-86.45	38.67	38.67
-86.17	-86.17	40.18	40.18
-85.95	-85.95	40.37	40.37
-85.73	-85.73	40	40
-86.9	-86.9	41.72	41.72
-86.87	-86.87	40.42	40.42
-87.13	-87.13	41.52	41.52
-86.25	-86.25	39.78	39.78
-85.88	-85.88	39.72	39.72
-85.73	-85.68	39.85	39.88
-85.75	-85.75	41.32	41.32
-93.65	-93.6	41.6	41.62
-96.28	-96.2	42.82	42.78
-94.83	-94.38	42.83	43.03
-95.62	-95.57	43.02	43.07
-93.73	-93.6	41.25	41.13
-94	-94	42.77	42.77
-92.08	-91.88	40.68	40.67
-94.93	-94.88	41.37	41.4
-94.97	-94.83	42.6	42.58
-91.4	-91.33	40.92	40.92
-93.73	-93.6	41.25	41.13
-90.6	-90.6	41.53	41.53
-91.3	-91.3	40.87	40.87
-92.92	-92.55	40.63	40.72
-93.6	-93.6	43.18	43.18
-90.93	-90.85	42.43	42.43
-93.82	-93.82	42.37	42.37
-93.92	-93.32	40.62	40.58
-93.42	-93.32	40.65	40.65
-93.73	-93.63	42.17	42.3
-94.12	-93.62	42.92	42.97
-93.63	-93.47	43.32	43.45
-92.55	-92.55	43.38	43.38
-94.93	-94.93	42.12	42.12
-95.63	-95.63	42.68	42.68
-100.47	-100.53	37.15	37.55
-98.4	-98.4	38.73	38.73
-100.97	-100.82	37	37.08
-98.6	-98.6	38.58	38.58
-97.6	-97.6	38.85	38.85
-98.23	-98.23	38.67	38.67
-96.3	-96.23	39.18	39.12
-98.85	-98.85	38.88	38.88
-99.25	-99.25	38.82	38.82
-96.75	-96.67	37.33	37.52
-98.6	-98.6	39.38	39.38
-95.1	-94.97	38.97	38.97
-98.95	-98.95	38.88	38.88
-99.15	-99.1	38.83	38.9
-84.47	-84.55	36.72	36.57
-83.05	-82.7	38.68	38.35
-84.22	-84.2	38.8	38.82
-84.22	-84.1	38.8	38.83
-84.1	-84.05	37.07	37.07
-82.6	-82.6	38.42	38.42
-83.95	-83.9	37.85	37.87
-84.57	-84.45	38.2	38.17
-84.78	-84.73	37.85	37.87
-84.87	-84.78	37.57	37.62
-84.5	-84.45	38.03	38
-90.18	-90.18	30.48	30.48
-90.48	-90.43	29.95	29.97
-92.08	-92.08	30.82	30.82
-92.05	-92.05	30.32	30.32
-93.5	-93.42	31.83	31.8
-93.02	-93.2	30.2	30.12
-91.4	-91.17	32.75	32.92
-79.48	-79.38	39.38	39.35
-75.57	-75.57	38.07	38.07
-83.22	-83.17	42.25	42.25
-86.25	-86.25	41.88	41.88
-85.47	-85.47	44.3	44.3
-85.28	-85.28	44.23	44.23
-83.63	-83.63	42.37	42.37
-83.32	-83.32	45.17	45.17
-84.9	-84.9	43.07	43.07
-85.05	-85.05	42.57	42.57
-83.75	-83.75	42.38	42.38
-86.22	-85.82	42.22	42.3
-84.52	-84.52	43.1	43.1
-88.47	-88.47	46.72	46.72
-84	-84	42.15	42.15
-85.72	-85.5	42.3	42.28
-88.08	-88.08	46.28	46.28
-84.8	-84.73	42.22	42.25
-85.82	-85.82	42.03	42.03
