x	xend	y	yend
-87.98	-87.82	34.03	34.13
-88.13	-88.05	33.95	34.05
-87.6	-87.53	34.25	34.3
-85.27	-85.2	31.07	31.13
-85.52	-84.83	32.9	33.47
-85.82	-85.75	31.63	31.65
-85.52	-85.23	32.9	33.17
-85.52	-85.48	31	30.95
-86.65	-86.37	34.65	34.78
-86.37	-86.1	33.27	33.43
-91.6	-91.47	34.97	34.98
-91.3	-91.1	35.45	35.53
-90.05	-90	35.57	35.62
-91.38	-91.22	33.63	33.63
-91.45	-91.45	35.43	35.45
-90.38	-90.33	35.23	35.25
-119.77	-119.77	36.78	36.78
-104.85	-104.85	39.72	39.72
-105	-105	40.7	40.7
-73.33	-73.23	41.83	41.72
-73.12	-73.03	41.6	41.55
-72.9	-72.92	41.38	41.32
-75.45	-75.2	38.52	38.6
-84.92	-84.87	29.72	29.75
-84.7	-84.53	29.87	29.97
-85.53	-85.38	30.7	30.85
-84	-83.95	34.17	34.15
-84.65	-84.58	33.48	33.55
-85.45	-85.33	34.25	34.37
-85.18	-85.13	34.22	34.27
-83.32	-83.23	34.55	34.63
-84.62	-84.52	34.1	34.03
-83.57	-83.45	34.5	34.6
-84.67	-84.62	33.45	33.53
-85.25	-85.12	33.57	33.73
-84.7	-84.67	34.1	34.08
-83.6	-83.5	34.62	34.7
-84.83	-84.68	33.28	33.42
-83.32	-83.2	34.55	34.7
-83.77	-83.67	34.42	34.37
-85.33	-85.28	33.85	33.88
-85.23	-84.83	33.17	33.47
-84.18	-84.07	33.6	33.62
-83.45	-83.45	34.43	34.35
-83.93	-83.87	31.07	31.25
-82.62	-82.67	32.83	32.88
-83.98	-83.87	34.42	34.5
-83.68	-83.73	32.02	32.07
-87.78	-87.7	38.48	38.58
-87.78	-87.43	38.48	38.62
-88.4	-88.4	38.45	38.45
-88.45	-88.45	41.6	41.6
-88.2	-88.2	37.27	37.27
-88.4	-87.95	38.22	38.4
-87.55	-87.5	37.98	38.02
-87.63	-87.57	38.25	38.25
-85.62	-85.57	39.23	39.28
-87.52	-87.52	38.53	38.53
-87.7	-87.43	38.58	38.62
-86.98	-86.9	39.82	39.82
-86.8	-86.72	39.75	39.75
-84.85	-84.82	40.72	40.72
-84.85	-84.72	40.72	40.72
-86.17	-86.08	41.67	41.67
-93.82	-92.62	42.23	42.2
-96	-96	43.35	43.35
-93.17	-92.97	42.28	42.27
-94.72	-93.87	40.98	40.63
-92.23	-92.02	43.07	43.12
-95.38	-95.38	41.62	41.62
-95.48	-95.48	41.68	41.68
-92.27	-91.42	40.8	41.93
-95.1	-94.85	42.28	42.45
-96.2	-96.2	42.37	42.37
-95.92	-95.83	41.23	41.25
-91.95	-91.95	42.5	42.5
-95.77	-95.57	40.77	40.87
-91.45	-91.42	42.03	41.93
-93.87	-93.75	42.5	42.52
-95.45	-95.35	41.68	41.67
-95.68	-95.68	38.47	38.47
-95.67	-95.67	38.52	38.52
-99.57	-99.57	39.87	39.87
-99.48	-99.48	39.8	39.8
-99.7	-99.7	39.88	39.88
-99.7	-99.7	39.85	39.85
-99.32	-99.32	39.85	39.85
-99.55	-99.55	39.95	39.95
-99.32	-99.32	39.9	39.9
-95.68	-95.68	38.58	38.58
-99.58	-99.58	39.98	39.98
-99.62	-99.62	39.75	39.75
-99.88	-99.88	40	40
-97.37	-97.37	38.07	38.07
-96.8	-96.8	37.28	37.28
-97.33	-97.33	38.03	38.03
-97.32	-97.32	38.03	38.03
-101.02	-100.83	37.18	37.23
-86.57	-86.5	36.72	36.78
-86.72	-86.67	36.75	36.78
-86.98	-86.88	37.67	37.77
-87.03	-86.97	37.67	37.72
-84.6	-84.6	37.53	37.53
-87.22	-87.13	37.37	37.37
-87.77	-87.67	37.4	37.38
-86.55	-86.37	36.72	36.77
-86.22	-86.13	37.5	37.57
-91.02	-90.92	30.87	30.87
-93.28	-93.18	31.6	31.6
-92.48	-92.45	31.27	31.35
-91.85	-91.8	31.67	31.68
-90.9	-90.83	30.63	30.63
-91.25	-91.1	30.52	30.55
-93.95	-93.83	32.32	32.33
-93.23	-93.2	30.68	30.72
-91.08	-90.93	30.48	30.45
-90.87	-90.8	30.45	30.5
-91.48	-91.33	30.35	30.43
-91.27	-91.23	31.97	31.95
-90.03	-90.03	30.83	30.83
-75.8	-75.72	39.25	39.25
-71.02	-71.02	42.08	42.08
-71.13	-71.13	42.15	42.15
-70.82	-70.82	42.12	42.12
-86.2	-86.08	42.4	42.53
-85.85	-85.67	42.32	42.43
-84.92	-84.88	42.83	42.92
-86.05	-85.98	42.4	42.5
-86.23	-86.05	44.7	44.63
