x	xend	y	yend
-85.08	-85.08	32.53	32.53
-87.4	-87.25	31.42	31.53
-87.98	-87.12	34.12	34.32
-88.13	-88.13	34.45	34.45
-86.9	-86.62	31.4	31.63
-86.98	-86.33	34.32	34.47
-86.6	-86.33	34.3	34.38
-86.87	-86.72	32.4	32.52
-87.05	-86.82	31.42	31.48
-86.58	-86.27	31.97	32.13
-88.13	-88.13	33.9	33.9
-86.3	-86.3	32.07	32.07
-87.7	-87.82	31.6	31.63
-86.58	-86.4	32.15	32.25
-86.72	-86.53	31.77	31.85
-87.05	-86.9	34.1	34.15
-85.3	-85.3	31.37	31.37
-88.13	-88	33.13	33.18
-86.7	-86.63	31.43	31.58
-86.3	-86.3	31.7	31.7
-86.57	-86.52	33.2	33.23
-85.4	-85.4	31.2	31.2
-87.67	-87.67	34.6	34.6
-86.13	-85.98	32.17	32.18
-87.18	-87.3	33.9	33.93
-88	-88	30.65	30.65
-85.67	-85.47	31.8	31.97
-86.65	-86.65	32.8	32.8
-87.8	-87.8	33.87	33.87
-87.87	-87.75	34.48	34.53
-86.8	-86.67	33.6	33.63
-85.83	-85.83	34.33	34.33
-87.53	-87.48	33.4	33.42
-85.97	-85.97	32.95	32.95
-87.9	-87.58	32.65	32.95
-87.37	-86.92	32.28	32.67
-85.85	-85.85	33.27	33.27
-86.6	-86.6	34.32	34.32
-87.2	-87.2	34.5	34.5
-85.6	-85.6	33.7	33.7
-86.52	-86.22	33.98	34.27
-113.2	-113.2	32.87	32.87
-93.52	-93.52	35.32	35.32
-94.1	-94.05	34.9	34.95
-93.1	-93.1	34.6	34.6
-90.2	-90.2	35.8	35.8
-93.52	-93.52	34.03	34.03
-93.67	-93.53	35.55	35.57
-93.22	-93.22	33.35	33.42
-90.92	-90.63	35.8	36.03
-90.17	-90.17	35.8	35.8
-92.03	-91.98	33.13	33.17
-91.95	-91.92	34.38	34.43
-93.17	-93.17	34.32	34.37
-92.43	-92.37	35.32	35.35
-91.83	-91.75	33.62	33.65
-90.42	-90.42	36.07	36.07
-93.1	-93.1	34.6	34.6
-92.47	-92.43	35.07	35.32
-93.25	-93.02	33.35	33.52
-93	-92.82	34.22	34.37
-119.83	-119.83	36.7	36.7
-102.6	-102.6	40.1	40.1
-102.73	-102.73	40.08	40.08
-105.18	-105.07	40.77	40.73
-104.93	-104.82	40.47	40.55
-104.93	-104.9	40.5	40.47
-102.4	-102.05	39.25	39.43
-104.77	-104.77	40.63	40.63
-103.7	-103.7	39.27	39.27
-102.67	-102.67	37.07	37.07
-102.12	-102.12	38.67	38.67
-102.4	-101.78	39.25	39.9
-75.25	-75.1	38.53	38.42
-81.68	-81.68	30.23	30.23
-81.8	-81.8	28.07	28.07
-80.37	-80.37	25.77	25.77
-81.77	-81.77	29.18	29.18
-83.58	-83.58	29.83	29.83
-87.2	-87.2	30.45	30.45
-82.62	-82.62	29.63	29.63
-81.77	-81.7	30.1	30.17
-80.93	-80.93	26.75	26.75
-82.38	-82.38	31.3	31.3
-83.08	-82.83	31.85	31.85
-83.53	-82.83	31.53	31.5
-84.7	-84.63	31.87	31.92
-83.68	-83.47	31.17	31.23
-82.5	-82.37	33.47	33.5
-84.93	-84.52	31.37	31.47
-85	-84.87	34.43	34.53
-85.27	-85.03	34.47	34.55
-84.35	-83.33	32.2	32.83
-114.3	-114.3	42.5	42.5
-89.08	-88.78	38.28	38.35
-89.02	-88.93	38.42	38.43
-90.95	-90.93	40.57	40.62
-88.45	-88.37	40.82	40.9
-89.7	-89.7	40.2	40.2
-89.75	-89.65	37.83	37.87
-89.02	-88.8	38.33	38.35
-90.2	-89.87	38.42	38.53
-87.98	-87.92	38.7	38.72
-89.32	-89.18	37.57	37.63
-89.17	-89.17	39.97	39.97
-89.82	-89.47	37.97	38.07
-89.7	-89.7	40.2	40.2
-89.5	-89.4	37.9	37.92
-88.05	-87.98	38.93	38.98
-90.8	-90.58	40.5	40.62
-88.63	-88.35	38.5	38.68
-89.8	-89.5	37.9	38
-88.75	-88.35	40.35	40.45
-87.8	-87.75	39.9	39.93
-90.27	-90.27	38.33	38.33
-90.22	-90.17	39.73	39.73
-89.25	-89.15	38.08	38.1
-89.2	-89.18	37	37.1
-88.42	-88.08	38.17	38.28
-89.7	-89.62	39.75	39.77
-90.58	-90.53	40.1	40.13
-89.48	-89.02	37.7	37.88
-90.8	-90.12	39.6	39.92
-91	-90.65	39.55	39.57
