x	xend	y	yend
-86.1	-86.02	33.4	33.43
-87.17	-86.82	33.7	33.78
-86.2	-86.2	33.88	33.88
-87.53	-87.5	32.43	32.45
-87.3	-87.3	33.9	33.9
-86.67	-86.48	34.7	34.8
-88.17	-88.17	30.63	30.63
-86.83	-86.77	33.45	33.47
-88	-88	33.4	33.4
-86.88	-86.88	32.78	32.78
-87.78	-87.58	34.8	34.85
-86.7	-86.5	34.55	34.83
-87.67	-87.42	34.67	34.73
-88.15	-88.05	32.43	32.5
-85.85	-85.85	33.63	33.63
-85.92	-85.87	33.65	33.68
-87.77	-87.53	30.3	30.33
-87.65	-87.78	30.25	30.4
-86.58	-86.48	34.72	34.67
-88.1	-88.1	30.33	30.33
-93.08	-93.02	34.48	34.5
-94.4	-94.35	35.35	35.38
-92.38	-92.18	34.7	34.72
-92.1	-92.1	33.05	33.05
-93.23	-93.23	34.35	34.35
-91.9	-91.9	33.02	33.02
-91.97	-91.53	34.53	34.52
-120.67	-120.67	36.7	36.7
-121.3	-121.3	37.97	37.97
-120.07	-120.07	36.97	36.97
-103.05	-103.05	40.18	40.18
-104.85	-104.82	39.52	39.55
-102.85	-102.85	38.48	38.48
-104.7	-104.7	39.57	39.57
-102.1	-102.1	38.83	38.83
-104.7	-104.7	39.6	39.6
-104.87	-104.87	39.85	39.85
-102.45	-102.25	37.53	37.4
-105.15	-105.15	39.8	39.8
-102.73	-102.73	38.12	38.12
-103.05	-103.05	40.13	40.13
-104.37	-104.37	40.17	40.17
-102.15	-102.15	38.28	38.28
-104.37	-104.37	38.82	38.82
-104.82	-104.82	39.77	39.77
-102.55	-102.55	37.1	37.1
-104.6	-104.6	39.58	39.58
-103.93	-103.93	39.47	39.47
-102.22	-102.22	39.97	39.97
-80.1	-80.1	26.32	26.32
-82.78	-82.78	27.9	27.9
-85.77	-85.63	30.77	30.85
-81.83	-81.55	29.62	29.67
-80.3	-80.3	27.47	27.47
-80.8	-80.8	28.62	28.62
-81.5	-81.5	27.62	27.62
-86.2	-86.2	30.6	30.6
-86.62	-86.52	30.4	30.43
-85.2	-85.2	30	30
-87.27	-87.27	30.43	30.43
-85.57	-85.55	30.07	30.17
-85.1	-85.1	30.5	30.5
-82.5	-82.42	27.9	27.92
