x	xend	y	yend
-86.75	-86.22	32.9	32.87
-85.7	-85.52	31.6	31.67
-87.65	-87.42	34.77	34.85
-88.37	-88.25	31.97	32.1
-86.2	-86.13	34.27	34.28
-86.85	-86.77	33.1	33.13
-88.12	-87.07	30.77	31.12
-111.75	-111.75	33.4	33.4
-112.1	-112.1	33.5	33.5
-112.4	-112.42	33.5	33.5
-92.8	-92.8	35.1	35.1
-91.18	-90.03	35.73	35.9
-92.38	-92.25	36.38	36.38
-92.38	-92.03	35.25	35.48
-91.97	-91.97	36.4	36.4
-90.47	-90.42	36.08	36.12
-91.85	-91.27	33.92	33.98
-90.38	-90.22	35.1	35.27
-93.73	-93.65	35.13	35.12
-91.33	-91.33	34.22	34.22
-92.27	-92.1	36.17	36.38
-91.57	-91.57	34.15	34.15
-94.55	-94.45	36.13	36.18
-102.1	-102.1	38.05	38.05
-102.12	-102.1	38.07	38.08
-102.53	-102.53	37.1	37.1
-105.15	-105.15	38.72	38.72
-73.3	-73.3	42	42
-73.53	-73.52	41.37	41.35
-82.85	-81.95	27.87	28.1
-81.83	-81	26.17	26.75
-80.2	-80.05	26.53	26.58
-81.8	-81.17	26.17	26.5
-81.8	-81.8	26.2	26.2
-82.7	-82.62	27.48	27.63
-81.75	-81.75	28.05	28.05
-80.2	-80.12	25.92	25.95
-85.23	-85.23	30.8	30.8
-80.42	-80.42	25.75	25.75
-81.85	-81.85	30.32	30.32
-82.37	-82	28.37	28.65
-82.45	-81.53	27.95	28.5
-82.77	-82.77	28.02	28.02
-81.75	-81.72	30.18	30.05
-80.38	-80.23	25.77	25.92
-80.6	-80.6	28.07	28.07
-82.75	-82.75	27.75	27.75
-82.37	-82.37	26.97	26.97
-87.25	-86.92	30.35	30.68
-83.3	-83.3	30.4	30.4
-80.47	-80.15	25.47	26.02
-80.1	-80.1	26.35	26.35
-84.43	-84.38	30.63	30.67
-80.32	-80.5	25.43	25.43
-81.05	-80.98	29.15	29.2
-82.45	-82.4	27.1	27.13
-80.6	-80.6	28.17	28.17
-81.85	-81.85	26.63	26.63
-83.98	-83.98	30.35	30.35
-82.8	-82.8	27.97	27.97
-81.63	-81.63	28.1	28.1
-82.55	-82.55	27.42	27.42
-80.65	-80.65	28.4	28.4
-80.3	-80.3	25.7	25.7
-83.73	-83.58	32.5	32.62
-85.27	-85.17	33.75	33.78
-83.3	-83.3	30.9	30.9
-84.47	-84.38	32.8	32.8
-84.2	-84.2	33.4	33.4
-82.42	-82.42	32.22	32.22
-87.7	-87.57	40.62	40.65
-89.13	-88.65	40.23	40.23
-90.2	-89.92	38.4	38.58
-89.63	-89.52	38.55	38.63
-90.52	-90.43	40.93	40.93
-89.83	-89.55	40.23	40.28
-85.85	-85	40.73	41.1
-86.45	-86.45	40.38	40.38
-86.53	-86.37	39.62	39.62
-86.93	-86.93	40.48	40.48
-87.05	-87.05	41.2	41.2
-86.05	-86.05	40.3	40.3
-85.47	-85.47	40.37	40.37
-86.6	-86.6	41.3	41.3
-85.12	-85.12	40.18	40.18
-86.23	-86.23	41.67	41.67
-86.88	-86.88	40.73	40.73
-85.97	-85.92	39.07	39.1
-85.77	-85.77	38.68	38.68
-86.53	-86.53	40.32	40.32
-93.08	-93	41.57	41.62
-92.18	-92.1	43.33	43.28
-92.72	-92.72	41.73	41.73
-96.07	-95.98	43.02	43.07
-91.93	-91.85	42.67	42.85
-93.12	-92.33	42.77	43.47
-95.5	-95.5	43.38	43.38
-95.1	-95.02	43.38	43.43
-96.33	-96.33	42.45	42.45
-96.33	-96.33	42.48	42.48
-98.1	-98.02	39.5	39.53
-96.25	-96.1	37.58	37.67
-101.4	-101.4	39.4	39.4
-98.6	-98.6	37.3	37.3
-98.4	-98	37.4	37.7
-101.17	-98.8	38.43	39.28
-94.65	-94.6	38.63	38.67
-100	-100	37.7	37.7
-94.65	-94.6	38.63	38.67
-96.9	-96.85	37.1	37.12
-102	-101.97	38.9	38.92
-99.1	-99.1	37.2	37.2
-96.17	-95.58	39.07	39.4
-99.9	-99.9	38.1	38.1
-96.7	-96.7	39.2	39.2
-88.3	-87.63	36.63	37.12
-84.37	-82.92	38.67	38.88
-84	-84	38.72	38.72
-84.37	-83.87	38.67	38.77
-82.95	-82.95	38.72	38.72
-86.23	-86.23	37.07	37.07
-84.58	-84.53	37.87	37.9
-92.23	-92.23	32.17	32.17
-92.67	-92.67	30.8	30.8
-69.77	-69.75	44.23	44.18
-71.3	-71.3	42	42
-70.4	-70.4	41.6	41.6
-72.52	-72.52	42.1	42.1
-83.45	-83.3	41.98	41.95
-84.65	-84.52	41.92	41.92
-84.67	-84.55	44.33	44.33
-83.8	-83.8	42.93	42.93
-85.55	-84.55	42.93	42.72
-85.48	-85.08	43.7	43.1
-83.38	-83.32	43.1	43.05
-83.42	-83.42	42.37	42.37
-84.57	-84.52	43.17	43.17
-84.6	-84.47	41.78	41.88
-85.77	-85.77	41.9	41.9
-92.93	-92.93	46.02	46.02
-93.07	-93.07	46.2	46.2
-93.88	-93.88	44.17	44.17
-93.23	-92.92	44.47	44.58
-91.9	-91.77	43.52	43.6
-94.73	-94.73	43.7	43.7
-94	-94	46.18	46.18
-95.75	-95.6	44.17	44.3
-93.15	-92.88	44.02	44.2
-92	-92	43.92	43.92
-95.5	-95.5	45.23	45.23
-94.63	-94.63	45.23	45.23
-96.2	-96.2	43.87	43.87
-92.08	-92.08	43.62	43.62
-95.58	-95.53	43.9	43.85
-92.47	-92.47	43.77	43.77
-93.67	-93.67	44.72	44.72
-95.65	-95.65	45.05	45.05
-92.97	-92.85	43.93	44.02
-95.68	-95.68	43.62	43.62
-93.1	-92.73	44.28	44.33
-93.42	-93.42	44.45	44.45
-95.55	-94.23	46.42	46.88
-94.22	-94.22	45.62	45.62
-93.95	-93.95	45.7	45.7
-96.05	-96.05	46.65	46.65
-96.13	-96.12	48.08	48.13
-94.32	-94.32	45.63	45.63
-95.8	-95.72	45.88	45.97
-89.82	-89.82	34.7	34.7
-89.95	-89.87	34.82	34.85
-89.58	-89.58	34.93	34.93
-89.98	-89.93	31.68	31.67
-89.53	-89.53	31.98	31.98
-90.48	-90.48	33	33
-90.3	-90.22	33.68	33.72
-90.28	-90.28	34.05	34.05
-89.92	-89.8	33.77	33.73
-90.53	-90.42	32.93	33.02
-88.3	-88.3	33.68	33.68
-89.27	-89.27	30.38	30.38
-89.65	-88.92	30.8	30.8
-89.9	-89.85	34.68	34.9
-90.35	-90.3	38.62	38.65
-95.53	-95.53	40.57	40.57
-93.55	-93.48	39.05	39.1
-93.77	-93.55	38.88	39
-94.08	-94.08	38.27	38.27
-91.88	-91.73	37.5	37.63
-92.47	-92.47	39.45	39.45
-92.02	-92.03	37.2	37.27
-90.47	-90.28	37.35	37.47
-90.75	-90.65	38.22	38.25
-90.73	-90.62	38.17	38.23
-94.03	-94	39.28	39.33
-94.87	-94.87	40.35	40.35
-94.6	-94.6	38.67	38.67
-94.05	-93.97	38.83	38.88
-107	-107	45.3	45.3
-98.37	-98.37	41	41
-96.4	-96.4	41.53	41.53
-96.33	-96.33	41.35	41.35
-98.7	-98.05	40.85	41.55
-96.08	-96.08	40.18	40.18
-95.95	-95.53	41.25	41.25
-98.65	-98.65	42.45	42.45
-97.65	-97.53	41.17	41.12
-97.58	-97.53	40.83	40.83
-71.8	-71.8	42.83	42.83
-103.4	-103.4	33	33
-73.55	-73.52	41.38	41.35
-73.55	-73.53	41.38	41.37
-79.08	-78.5	42.4	42.23
-80.7	-80.7	36.25	36.25
-77.05	-77.05	35.07	35.07
-80.58	-80.75	35	35.2
-103	-103	48.7	48.7
-98	-98	48.4	48.4
-97.87	-97.87	48.3	48.3
-98.47	-98.58	47.13	47.23
-81.75	-81.63	39.97	40.07
-81.43	-81.3	40.2	40.25
-82.4	-82.4	39.52	39.52
-82.72	-82.6	40.02	40.1
-83.87	-82.92	38.77	38.88
-82.87	-82.78	38.82	38.85
-83.6	-83.6	41.5	41.5
-84.3	-84.3	41.7	41.7
-84.27	-83.87	39.1	39.28
-82.8	-82.2	38.7	38.82
-98.35	-98.35	34.18	34.18
-97.58	-97.58	34.27	34.27
-97.4	-97.4	34.15	34.15
-97.15	-97.15	34.07	34.07
-97.2	-97.2	33.93	33.93
-96.8	-96.8	33.9	33.9
-96.7	-96.65	33.9	33.93
-96	-95.93	36.35	36.37
-97.27	-97.22	36.28	36.33
-95.37	-95.37	34.97	34.97
-94.93	-94.93	36.97	36.97
-96.67	-96.63	34.83	34.87
-97.72	-97.72	36.15	36.15
-98.37	-98.37	34.65	34.65
-97.37	-97.17	36.92	36.9
-96.73	-96.67	35.28	35.37
-94.5	-94.5	35	35
