x	xend	y	yend
-85.05	-84.98	32.47	32.48
-86.97	-86.97	33.57	33.57
-85.05	-84.83	32.47	32.5
-87.1	-87.05	34.45	34.47
-87.38	-87.27	34.68	34.68
-88.17	-88.17	30.7	30.7
-86.32	-86.32	33.02	33.02
-87.45	-87.28	31.53	31.58
-86.62	-86.62	32.3	32.3
-92.9	-92.8	33.17	33.2
-90.33	-90.33	35.23	35.23
-92.58	-92.53	33	33.03
-90.22	-90.22	35.6	35.6
-92.45	-92.37	33.4	33.5
-91.9	-91.85	34.15	34.18
-92.82	-92.43	33.73	33.9
-90	-90	35.7	35.7
-91.65	-91.22	34.37	34.45
-91.72	-91.43	33.83	33.97
-92.18	-92.15	34.45	34.47
-93.15	-92.93	35.27	35.25
-92.5	-92.02	34.32	34.6
-91.22	-90.58	35.03	35.27
-92.93	-92.93	34.22	34.22
-92.05	-92.05	33.62	33.62
-92.08	-91.97	34.72	34.75
-90.57	-90.57	35.75	35.75
-91.58	-91.58	34.07	33.98
-91.97	-91.83	33.28	33.35
-92.08	-91.2	34.72	34.97
-90.72	-90.67	35.9	35.85
-94.12	-94.12	36.27	36.27
-91.27	-91.27	35.62	35.62
-92.32	-92.1	35.92	35.9
-91.33	-91.33	34.28	34.28
-93.2	-93.2	35.23	35.23
-93.92	-93.92	33.87	33.77
-90.7	-90.7	34.55	34.55
-90.82	-90.72	35.9	35.87
-92.57	-92.57	35.45	35.45
-94.05	-94.02	33.8	33.87
-90.18	-90.18	35.15	35.15
-92.78	-92.78	35.28	35.28
-121.45	-121.42	38.7	38.73
-102.2	-101.98	37.47	37.42
-102.2	-101.8	37.47	37.37
-82.38	-82.38	28.58	28.58
-82.45	-82.28	29.57	29.68
-80.95	-80.95	29.1	29.1
-86.42	-86.42	30.75	30.75
-82.17	-82.17	30.07	30.07
-82.38	-82.5	27.37	27.48
-81.4	-81.4	27.45	27.45
-83.15	-83.15	29.33	29.33
-82.43	-82.43	30.2	30.2
-80.22	-80.22	25.98	25.98
-82.78	-82.78	27.83	27.83
-80.72	-80.72	26.42	26.42
-81.85	-81.85	30.32	30.32
-81.9	-81.9	29.62	29.62
-82.62	-82.62	29.65	29.65
-80.85	-80.85	28.85	28.85
-81.3	-81.3	28.53	28.53
-80.95	-80.95	29.05	29.05
-82.45	-82.45	27.1	27.1
-81.27	-81.27	28.83	28.83
-80.98	-80.98	27.98	27.98
-82.57	-82.57	27.48	27.48
-80.3	-80.3	27.3	27.3
-80.63	-80.63	26.78	26.78
-80.35	-80.35	25.92	25.92
-81.87	-81.87	30.07	30.07
-81.52	-81.52	29.43	29.43
-86.22	-86.22	30.82	30.82
-82.12	-82.12	28.02	28.02
-82.78	-82.78	27.83	27.83
-82.05	-81.97	29.07	29.1
-81.05	-81.05	29.33	29.33
-81.43	-81.17	28.62	28.75
-81.63	-81.63	29.77	29.77
-80.28	-80.28	26	26
-82.27	-82.27	28.33	28.33
-86.22	-86.22	30.82	30.82
-81.32	-81.32	29.97	29.97
-82.1	-82.1	27.45	27.45
-82.7	-82.7	28.45	28.45
-80.12	-80.07	27.07	27.08
-82.02	-82.03	26.7	26.8
-82.35	-82.35	28.23	28.23
-82.05	-82.05	26.93	26.93
-82.72	-82.72	28.25	28.25
-81.68	-81.68	30.23	30.23
-82.3	-82.17	27.92	28
-82.15	-82.15	26.7	26.7
-80.83	-80.83	27.25	27.25
-82.55	-82.55	28.03	28.03
-80.5	-80.5	26.37	26.37
-80.05	-80.05	26.62	26.62
-80.3	-80.3	27.3	27.3
-83.63	-83.48	31.67	31.8
-82.13	-81.5	33.52	33.68
-84.98	-84.83	32.48	32.5
-82.13	-82.02	33.52	33.53
-83.68	-83.55	31.47	31.47
-83.83	-83.75	33.53	33.58
-85.28	-85.22	33.93	33.93
-84.38	-84.3	33.62	33.68
-83.63	-83.48	33.3	33.48
-83.63	-83.43	31.07	31.13
-84.28	-84.28	33.9	33.9
-116.57	-116.52	48.27	48.3
-88.57	-88.25	40.77	40.77
-88.95	-88.85	39.85	39.93
-87.83	-87.77	41.67	41.75
-90.05	-89.62	39.12	39.48
-88.8	-88.8	41.38	41.38
-87.9	-87.83	41.75	41.7
-90.78	-90.7	41.27	41.35
-88.07	-87.98	41.27	41.22
-85.78	-85.78	39.55	39.55
-85.92	-85.92	39.37	39.37
-87.37	-87.37	39.43	39.43
-86.95	-86.95	40.45	40.45
-85.83	-85.83	39.47	39.47
-85.1	-85.1	39.18	39.18
-86.68	-86.65	39.25	39.25
-86.97	-86.55	40.43	40.18
-85.27	-85.27	39.12	39.12
-86.9	-86.75	40.47	40.42
-86.87	-86.75	40.42	40.5
-95.5	-95.5	40.7	40.7
-92.65	-92.65	41.38	41.38
-93.18	-92.7	41.97	41.65
-96.55	-96.17	42.9	42.78
-94.57	-94.47	43.13	43.07
-94.57	-94.47	43.13	43.07
-96.4	-96.12	43.47	43.43
-96.25	-96.05	43.03	42.93
-95.65	-95.52	38.68	38.68
-101.98	-101.8	37.42	37.37
-95.45	-95.45	38.62	38.62
-96.57	-96.57	38.17	38.17
-100.7	-100.17	38.07	37.87
-98.23	-98.23	39.88	39.88
-99.42	-99.42	37.33	37.33
-95.72	-95.63	38.82	38.82
-100.85	-100.85	37.82	37.82
-96.38	-95.72	39.32	39.47
-99.98	-99.98	39.12	39.12
-99.2	-99	38.03	37.98
-97.13	-97.13	37	37
-96.38	-96.38	37.82	37.82
-96.47	-96.47	37.85	37.85
-96.78	-96.78	37.68	37.68
-97.3	-97.3	38.42	38.42
-94.98	-94.77	38.62	38.6
-99.38	-99.38	38.4	38.4
-87.9	-87.67	36.68	36.82
-83.82	-83.72	37.87	37.87
-86.7	-86.45	37.12	37.18
-87.75	-87.58	36.82	36.85
-92.57	-92.57	32.12	32.12
-92.08	-92.08	32.42	32.42
-93.55	-92.58	32.7	33
-92.23	-92.23	32.77	32.77
-93.3	-92.58	32.47	33
-93.37	-93.37	29.8	29.8
-93.3	-92.53	32.47	33.03
-93.35	-93.27	32.43	32.45
-93.8	-93.8	32.42	32.42
-93.75	-93.68	32.5	32.57
-91.48	-91.18	32.6	32.73
-93.53	-93.45	31.17	31.2
-92	-92	30.17	30.17
-93.42	-92.65	32.82	32.82
-93.82	-93.75	32.45	32.5
-93.1	-93.1	29.82	29.82
-91.73	-91.73	32	32
-93.28	-93.28	30.85	30.85
-70.53	-70.53	44.55	44.55
-76.98	-76.78	39.72	39.57
-76.67	-76.58	38.7	38.62
-75.87	-75.87	38.93	38.93
-73.13	-73.13	42.07	42.07
-85.7	-85.63	42.52	42.52
-86.13	-86.13	42.82	42.82
-94.67	-94.5	47.75	47.92
-94.63	-94.63	43.67	43.67
