x	xend	y	yend
-86.25	-86.25	34.82	34.82
-87.22	-86.75	34.95	34.92
-88	-87.8	33.93	33.95
-85.88	-85.77	33.78	33.77
-86.52	-86.32	32.55	32.63
-86.4	-86.4	32.6	32.6
-86.57	-86.48	32.68	32.78
-86.52	-86.35	32.75	32.83
-86.65	-86.65	32.83	32.83
-94.47	-94.08	33.63	33.63
-91.62	-91.48	36.18	36.3
-93.92	-93.77	34.18	34.48
-92.73	-92.65	35.23	35.25
-92.33	-91.98	35.03	35.47
-92.8	-92.75	34.38	34.45
-93.08	-93.03	34.5	34.55
-92.8	-92.7	33.55	33.68
-94.28	-93.5	33.93	33.87
-93.07	-93.07	34.12	34.12
-91.78	-91.75	35.78	35.87
-93.17	-92.9	36.13	36.23
-94.07	-93.9	33.3	33.47
-92.27	-92.13	34.98	35.23
-92.67	-92.6	34.47	34.57
-92.38	-92.38	36.48	36.48
-92.65	-92.55	35.53	35.72
-92.52	-92.4	34.63	34.75
-91.62	-90.98	36.18	37.08
-91.18	-91.18	34.88	34.88
-91.25	-91.07	35.17	35.38
-92.58	-92.25	35.63	35.88
-92.57	-92.57	34.23	34.33
-91.95	-91.95	34.55	34.55
-91.48	-91.42	35.1	35.15
-90.67	-90.7	35.77	35.83
-93.43	-93.3	33.73	33.83
-92.45	-92.38	35.08	35.12
-91.37	-91.3	35.27	35.38
-93.12	-93.02	33.83	33.87
-92.17	-91.95	35.15	35.53
-90.9	-90.75	34.72	34.77
-92.17	-91.98	35.92	35.98
-91.62	-91.52	36.18	36.5
-93.8	-93.55	33.63	33.67
-92.28	-92.28	34.73	34.73
-93	-92.78	34.78	34.82
-92.2	-92.02	35.03	35.27
-90.52	-90.52	34.95	34.95
-93.05	-93.05	34.5	34.5
-91.33	-91.17	35.17	35.38
-93.1	-92.77	35.83	36.3
-91.7	-91.7	34.17	34.17
-92.25	-92.25	34.53	34.53
-92.47	-92.27	34.58	34.85
-91.97	-91.63	33.3	33.3
-92.98	-92.88	34.17	34.25
-91.85	-91.85	33.95	33.95
-93.18	-93.18	34.67	34.67
-92.4	-92.4	34.3	34.3
-119.62	-119.55	36.57	36.52
-117.92	-117.92	33.78	33.78
-121.77	-121.77	37.68	37.68
-119.12	-119.12	34.12	34.12
-118.3	-118.3	33.97	33.97
-118.2	-118.05	33.78	33.88
-117.18	-117.18	32.73	32.73
-104.53	-104.53	39.82	39.88
-102.68	-102.62	39.75	39.77
-104.37	-104.3	40.23	40.22
-85.05	-85.05	30.45	30.45
-82.65	-82.42	29.17	29.07
-81.58	-81.58	27.9	27.9
-81.83	-81.78	28.5	28.52
-81.27	-81.22	28.8	28.82
-81.5	-81.45	26.72	26.83
-81.32	-81.27	28.98	29.07
-80.15	-80.15	25.98	26.02
-80.33	-80.25	27.33	27.37
-82.57	-82.57	28.8	28.8
-82.68	-82.63	27.75	27.77
-80.4	-80.27	25.6	25.7
-84.85	-84.8	34.13	34.15
-84.4	-84.4	33.77	33.77
-84.42	-84.42	34.32	34.32
-84.95	-84.8	31.13	31.13
-83.87	-83.78	30.73	30.77
-88.62	-88.62	40.58	40.58
-89.67	-89.47	38.03	38.07
-89.07	-88.87	40.38	40.4
-87.68	-87.63	41.33	41.47
-88.67	-88.67	37.72	37.72
-90.57	-90.57	40.12	40.12
-88.18	-88	39.48	39.65
-88.88	-88.35	40.52	40.55
-89.45	-89.45	40.07	40.07
-89.13	-88.83	37.8	37.72
-88.48	-88.48	37.7	37.7
-90.68	-90.68	40.33	40.33
-87.98	-87.85	41.05	41.2
-88.75	-88.62	40.62	40.57
-89.17	-88.93	40.3	40.33
-89.7	-89.6	38.52	38.58
-87.97	-87.97	41.52	41.52
-88.62	-88.62	40.57	40.57
-87.92	-87.9	38.93	39
-88.83	-88.55	40.47	40.43
-87.97	-87.97	39.3	39.3
-90.82	-90.82	39.62	39.62
-88.4	-88.28	40.23	40.22
-90.5	-90.5	40.93	40.93
-87.85	-87.85	40.9	40.9
-88.47	-88.47	38.25	38.25
-87.67	-87.67	39.87	39.87
-88.68	-88.68	41.92	41.92
-87.65	-87.58	39.9	39.92
-85.12	-84.98	40.92	40.92
-87.57	-87.57	38.35	38.35
-86.9	-86.9	37.97	37.97
-92.62	-92.62	42.55	42.55
-94.82	-94.82	42.6	42.6
-93.62	-93.55	43.45	43.47
-91.57	-91.57	40.65	40.65
-94.42	-94.42	42.65	42.65
-91.23	-91.23	41.9	41.9
-93.98	-93.98	41.38	41.38
-93.27	-93.27	41.38	41.38
-95.58	-95.58	41.48	41.48
-91.05	-91.05	41.88	41.88
-91.17	-91.17	41.88	41.88
-91.47	-91.47	40.73	40.73
-91.35	-91.35	41.78	41.78
-92.45	-91.88	40.95	41.02
-94.13	-94.13	43.12	43.18
-93.82	-93.75	43.22	43.45
-96	-95.63	38.58	38.63
-98.92	-98.92	39.77	39.77
-95.45	-95.45	37.7	37.7
-95.83	-95.72	38.47	38.58
-96.37	-96.3	37.37	37.4
-101.05	-101.05	39.65	39.65
-98.67	-98.6	39.78	39.83
-100.43	-100.43	39.68	39.68
-95.18	-95.18	39.6	39.6
-100.95	-100.32	37.43	37.82
-95.63	-95.63	38	38
-97.33	-97.33	37.83	37.83
-101.43	-101.43	39.43	39.43
-98.82	-98.77	39.55	39.58
-95.85	-95.4	37.78	38.03
-95.5	-95.43	38.37	38.42
-98.25	-98.25	39.8	39.8
-95.55	-95.55	37.3	37.3
-101.72	-101.72	38.55	38.55
-95.3	-95.3	39.32	39.32
-94.8	-93.7	37.53	38.05
-100.77	-100.77	38.95	38.95
-95.97	-95.78	39.37	39.43
-94.65	-94.65	38.77	38.77
-100.75	-100.75	37.2	37.2
-94.97	-94.97	37.28	37.28
-95.85	-95.85	37.4	37.4
-98.67	-98.67	37.68	37.68
-95.53	-95.53	38.4	38.4
-95.43	-94.97	37.02	37.18
-98.85	-98.85	38.37	38.37
-94.65	-94.63	37.32	37.33
-94.8	-94.63	37.53	37.55
-97.78	-97.78	39.45	39.45
-94.65	-94.5	37.32	37.35
-94.97	-94.97	38.57	38.57
-98.77	-98.42	37.55	37.62
-95.08	-95.02	39.77	39.78
-95.52	-95.52	39.28	39.28
-95.88	-95.88	38.1	38.1
-95.78	-95.78	38.22	38.22
-95.85	-95.75	37.02	37.07
-100.62	-100.58	37.27	37.18
-97.42	-96.98	38.7	39.05
-95.07	-94.77	37.38	37.48
-95.63	-95.63	37.15	37.15
-100.93	-100.93	37.23	37.23
-101.97	-101.97	39.4	39.4
-96.2	-96.2	38.72	38.72
-94.68	-94.68	38.65	38.65
-94.82	-94.82	38.75	38.75
