x	xend	y	yend
-87.05	-86.9	34.35	34.37
-86.02	-85.78	31.35	31.32
-88.1	-88.02	34.7	34.73
-85.83	-85.58	31.32	31.42
-91.33	-91.23	35.38	35.45
-92.63	-92.57	34.95	34.98
-89.93	-89.85	35.92	35.92
-91.08	-91.02	35.9	35.92
-93.73	-93.53	35.28	35.37
-94	-93.75	36.05	36.13
-92.08	-92.08	35.43	35.43
-93.07	-92.6	34.7	34.87
-90.85	-89.55	35.72	36.43
-92.03	-91.45	35.48	35.72
-93.6	-93.42	36.33	36.35
-90.85	-90.3	35.72	36
-91.25	-91.18	35.23	35.25
-93.67	-93.67	35.9	35.9
-92.83	-92.3	35.65	35.67
-104.7	-104.73	40.52	40.58
-102.65	-102.55	40.65	40.62
-105.87	-105.87	37.45	37.45
-103.75	-103.75	40.25	40.25
-105.1	-105.1	40.17	40.17
-75.07	-75.02	38.53	38.55
-80.1	-80.1	26.23	26.23
-80.17	-80.17	26.05	26.05
-80.7	-80.7	26.7	26.7
-87.25	-87.25	30.5	30.5
-82.63	-82.63	27.4	27.4
-81.88	-81.88	31.6	31.6
-83.52	-83.47	31.53	31.55
-82.38	-82.3	31.73	31.77
-83.08	-83	32.3	32.28
-81.08	-81.03	32.03	32.08
-83.82	-83.48	32.8	32.88
-84.73	-84.73	31.08	31.08
-84.17	-84.13	33.2	33.23
-84.58	-84.5	33.93	33.97
-89.1	-89.1	39.38	39.38
-88.13	-88.13	40.33	40.33
-87.98	-87.67	41.22	41.35
-88.32	-88.08	41.9	41.9
-90.68	-90.45	40.05	40.02
-89.55	-89.38	38.43	38.35
-89.45	-89.45	39.15	39.15
-89.77	-89.68	38.07	38.08
-88.13	-88.13	40.33	40.33
-88.95	-88.42	40.95	41.18
-90.93	-90.68	40.05	39.95
-90.12	-89.87	38.62	38.73
-90	-90	38.5	38.5
-89.92	-89.73	42.17	42.17
-91.12	-91	40.6	40.68
-89.27	-89.18	37.43	37.45
-90.4	-90.27	39.62	39.75
-88.07	-88.07	39.9	39.9
-85.43	-85.43	40.88	40.88
-85.98	-85.87	40.53	40.58
-87.52	-87.52	38.52	38.52
-86.17	-86.17	39.77	39.77
-84.63	-84.77	40.1	40.1
-85.03	-85.03	40.3	40.3
-87.27	-87.27	38.05	38.05
-85.67	-85	39.67	39.67
-84.8	-84.5	40.2	40.2
-86.78	-86.67	41.62	41.6
-86.83	-86.83	39.18	39.18
-86.17	-86.12	39.77	39.8
-94.35	-94.32	40.72	40.8
-90.68	-90.37	42.27	42.27
-95.15	-95.12	43.12	43.15
-95.32	-95.08	41.65	41.8
-93.98	-93.92	41.77	41.93
-97.77	-97.77	39.63	39.63
-97.98	-97.67	39.42	39.57
-99.88	-99.88	38.78	38.78
-95.13	-94.77	38.22	38.48
-97.27	-97.27	39.03	39.03
-98.53	-97.53	39.52	40.02
-101.8	-101.8	38.88	38.88
-98.12	-98.12	37.88	37.88
-100.22	-100.22	37.38	37.38
-98.13	-98.13	37.65	37.65
-97.42	-97.42	37.75	37.75
-101.25	-101.17	38.85	38.93
-94.75	-94.75	37.03	37.03
-94.88	-94.88	37.83	37.83
-99.65	-99.65	37.57	37.57
-99.63	-99.63	37.55	37.55
-100.35	-100.35	37.27	37.27
-96.8	-96.8	37.25	37.25
-98.87	-98.87	39.12	39.12
-95.7	-95.7	37.23	37.23
-94.98	-94.88	39.68	39.77
-100.05	-100.05	37.68	37.68
-100.02	-100.02	37.33	37.33
-96.82	-96.82	37.27	37.27
-98.03	-98.03	37.23	37.23
-98.22	-98.22	37.23	37.23
-97.42	-97.42	38.55	38.55
-98.78	-98.7	38.18	38.22
-101.25	-101.17	38.85	38.93
-97.87	-97.87	38.07	38.07
-100.37	-100.37	37.25	37.25
-99.92	-99.98	38.08	38.03
-99.22	-99.22	39.73	39.85
-97.62	-97.52	38.38	38.48
-96.98	-96.98	37.63	37.63
-100.32	-100.32	37.3	37.3
-100.33	-100.33	37.28	37.28
-97.4	-97.4	37.73	37.73
-98.57	-98.57	37.77	37.77
-98.53	-97.55	39.52	40
-100.03	-99.05	37.48	38.18
-94.77	-94.77	37.45	37.45
-100.23	-100.23	37.4	37.4
-98.8	-98.8	38.37	38.37
-100.03	-99.05	37.48	38.18
-99.42	-99.42	38.8	38.8
-100.2	-100.2	37.42	37.42
-98.7	-98.7	37.73	37.73
-97.42	-97.3	38.38	38.52
-100.03	-99.05	37.48	38.18
-98.42	-98.32	38.25	38.28
-98.6	-98.58	38.07	38.17
-98.6	-98.6	38.07	38.07
-100.03	-99.05	37.48	38.18
-95.78	-94.92	38.63	39.32
-97.25	-96.75	37	37.45
-98.6	-98.6	38.07	38.07
-97.77	-97.77	39.07	39.07
-98.23	-98.23	38.35	38.35
-98.6	-98.6	38.07	38.07
-97.25	-97.4	37	37.05
-100.03	-99.05	37.48	38.18
-100.03	-99.05	37.48	38.18
-98.23	-98.23	38.35	38.35
-84.27	-84.23	37.75	37.78
-84.45	-84.3	37.72	37.67
-87.08	-87.08	37.25	37.25
-93	-92.95	32.25	32.28
-71.3	-71.3	42.63	42.63
-71.87	-71.92	42.27	42.32
-72.57	-72.57	42.43	42.43
-84.43	-84.43	43.08	43.08
-85.63	-84.72	42.12	42.75
-85.48	-85.48	41.92	41.92
-85.53	-85.53	42.2	42.2
-85.03	-84.78	44.42	44.58
-84.33	-84.18	42.1	42.15
-84.48	-84.42	43.83	43.88
-83.37	-83.37	42.68	42.68
-84.92	-84.87	45.15	45.18
-96.15	-96.15	44.4	44.4
-96.15	-96.15	44.28	44.42
-96.73	-96.57	46.57	46.72
-96.7	-96.53	46.52	46.27
-93.6	-93.6	46.4	46.4
-95.6	-95.6	43.62	43.62
-97	-97	47.9	47.9
-93.55	-93.32	45.77	45.85
-95.77	-95.77	46.5	46.5
-90.2	-90.15	32.27	32.32
-89.42	-88.83	31.53	32.98
-89.98	-89.02	31.92	32.07
-90.42	-89.98	34.15	34.5
-92.82	-92.75	38.55	38.6
-94.25	-94.02	39.65	39.67
