x	xend	y	yend
-88	-88	33.78	33.78
-86.82	-86.73	34.32	34.33
-86.4	-86.27	33.7	33.75
-86.43	-86.37	33.23	33.27
-85.35	-85.17	31.35	31.5
-85.18	-85.18	32.82	32.82
-87.8	-85.75	32.53	33.53
-86.7	-86.15	33.57	33.95
-88.22	-88.17	30.53	30.55
-86.78	-86.57	34.63	34.73
-86.07	-86.07	34.33	34.33
-87.12	-87.12	34.05	34.05
-85.98	-85.92	34.6	34.62
-87.03	-87.03	34	34
-86.7	-86.7	31.53	31.53
-86.62	-86.18	34.3	34.58
-87.43	-87.43	31.42	31.42
-86.08	-86.08	33.03	33.03
-86.5	-86.38	32.7	32.8
-86.28	-85.83	34.28	34.48
-86.82	-86.75	33.28	33.3
-86.75	-86.75	33.9	33.9
-88.05	-88.05	30.73	30.73
-85.9	-85.7	31.32	31.33
-87.67	-87.6	32.9	32.92
-88.2	-88.2	30.6	30.6
-87.9	-87.83	33.97	34.02
-87.67	-87.52	32.62	32.67
-86.27	-86.27	31.72	31.72
-86.07	-86.07	31.67	31.67
-85.75	-85.67	34.47	34.5
-86.03	-85.77	34.67	34.55
-110.23	-110.23	34.83	34.83
-93.62	-93.62	35.25	35.25
-93.15	-93.08	36.15	36.25
-93.6	-93.6	33.8	33.8
-93.1	-93.1	33.1	33.1
-91.3	-91.3	33.8	33.8
-92.02	-92.02	34.73	34.73
-92.15	-92.15	34.92	34.92
-91.5	-91.5	33.88	33.88
-94.05	-94.05	33.42	33.42
-91.28	-91.02	34.58	34.8
-92.45	-92.45	34.95	34.95
-91.47	-91.47	33.72	33.72
-93.2	-93.12	34.6	34.63
-92.23	-92.23	34.77	34.77
-92.58	-92.58	34.67	34.67
-91	-91	34.88	34.88
-94.07	-94.07	33.58	33.58
-93.38	-93.38	33.8	33.8
-91.97	-91.97	34.5	34.5
-92.63	-92.58	35.9	35.9
-90.5	-90.53	35.6	35.67
-91.37	-90.68	35.27	35.83
-94.35	-94.25	34.03	34.05
-91.53	-91.53	35.45	35.45
-93.85	-93.85	33.95	33.95
-91.92	-91.92	33.62	33.78
-93.18	-93.18	35.2	35.2
-93.05	-93.05	34.63	34.63
-94.55	-94.5	36.18	36.22
-93.83	-93.73	36.42	36.43
-114.63	-114.63	33.62	33.62
-104.25	-104.25	39.37	39.37
-103.1	-103.1	40.25	40.25
-72.9	-72.9	41.6	41.6
-72.37	-72.37	41.75	41.75
-73.62	-73.62	41.03	41.03
